author,content,created_at,postLink
news-feed.bsky.social,"@XHNews: Emerging Olympic sports like breaking, skateboarding, sport climbing, and surfing at the 2024 Paris Olympics have captivated young Chinese, attracting a growing number of followers by pushing physical limits and exploring personal abilities. https://t.co/kdMS7XGLto",2024-08-13T03:21:54.185Z,https://bsky.app/profile/news-feed.bsky.social/post/3kzl2ic4hhm2s
maladroithe.bsky.social,You just have to tell them there are no electric kettles in the Olympic village,2024-08-13T00:27:03.938Z,https://bsky.app/profile/maladroithe.bsky.social/post/3kzkqpnlrnu2w
llewcid.bsky.social,Would watch the fuck out of a show where they pitted these people against an Olympian,2024-08-12T13:57:30.994Z,https://bsky.app/profile/llewcid.bsky.social/post/3kzjnjwet5p2a
news-feed.bsky.social,"@Forbes: Breaking, better known as break dancing, is making its Olympics debut at 2024 Summer Games, joining surfing, skateboarding and sport climbing as the newest Olympic sports. Here's what you need to know: https://t.co/gBxmyEruNr https://t.co/CC7kFQ2BRy",2024-08-09T18:54:47.081Z,https://bsky.app/profile/news-feed.bsky.social/post/3kzcmqpx3fx2o
earthnewstrending.bsky.social,Paris 2024 Olympics: Australia’s Keegan Palmer repeats as Olympic park skateboarding champion at Summer Games Palmer’s victory gave Australia... #news #olympics #skate #skateboarding earthnewstrending.blogspot.com/2024/08/pari...,2024-08-08T20:57:22.943Z,https://bsky.app/profile/earthnewstrending.bsky.social/post/3kzad4zoptc2n
australia.theguardian.com,"Paris 2024 Olympics day 12: track cycling records fall, skateboarding, golf and athletics – live",2024-08-07T13:34:09.450Z,https://bsky.app/profile/australia.theguardian.com/post/3kz4zvklaoc2k
maviscruet.bsky.social,"I really thought this was a headline writing error. But no, our skateboarder is 51. He must be the oldest athlete at the games?",2024-08-07T13:06:54.455Z,https://bsky.app/profile/maviscruet.bsky.social/post/3kz4yetv53c2r
globalvoters.bsky.social,Team GB's Brown wins skateboard bronze - highlights: Watch highlights as Team GB's Sky Brown wins skateboarding bronze in the women's park final at the Paris 2024 Olympics.,2024-08-07T10:13:05.000Z,https://bsky.app/profile/globalvoters.bsky.social/post/3kz4onzu2rs2q
globalvoters.bsky.social,Team GB's Brown wins skateboard bronze - highlights: Watch highlights as Team GB's Sky Brown wins skateboarding bronze in the women's park final at the Paris 2024 Olympics.,2024-08-06T17:39:06.000Z,https://bsky.app/profile/globalvoters.bsky.social/post/3kz2x4nin522d
bbcnews-uk-rss.bsky.social,Paris 2024 Olympics video: Sky Brown wins skateboarding bronze for Team GB,2024-08-06T17:37:45.938Z,https://bsky.app/profile/bbcnews-uk-rss.bsky.social/post/3kz2x2amw7224
redjolt.bsky.social,Not to nitpick but I think it’s called bronze in the Olympics,2024-08-06T13:07:19.055Z,https://bsky.app/profile/redjolt.bsky.social/post/3kz2hwnfnfb2e
mikemurph.bsky.social,Clever horse,2024-08-06T10:27:57.163Z,https://bsky.app/profile/mikemurph.bsky.social/post/3kz26zof3ec22
globalvoters.bsky.social,Skateboarding at the Paris 2024 Olympics: Everything you need to know about Olympic skateboarding at Paris 2024.,2024-08-06T01:36:35.000Z,https://bsky.app/profile/globalvoters.bsky.social/post/3kyzbdjft322c
frenetictyping.bsky.social,"Super excited for the Olympics Skateboarding Women’s Park event tomorrow. Arisa Trew looks to be the favourite. But I wanna talk about Yosozumi Sakura, who seeks to defend her gold medal. However, on June 23, at the last Olympic qualifier event, Sakura was in danger of not even making it to Paris 🧵",2024-08-05T17:25:50.276Z,https://bsky.app/profile/frenetictyping.bsky.social/post/3kyyfw2uw7c2c
brassafrass.bsky.social,"Tuesday’s Trash Takes: 2024 Olympics Sports Special Edition: 

Breakdancing, you cool, teach me your ways.

Surfing, you’re surprisingly boring and don’t bring anything else to the table.

Skateboarding, you are STUPID and I hope you get lost on the way to LA in 28.",2024-07-30T23:24:47.156Z,https://bsky.app/profile/brassafrass.bsky.social/post/3kyjx6cvztj2z
kitfoxgames.com,Summer Olympics 2024 but dogs 🐶🏖,2024-07-30T13:49:23.772Z,https://bsky.app/profile/kitfoxgames.com/post/3kyiwzeyn7b25
globalvoters.bsky.social,"Japan's Horigome nails incredible skill to win street skateboarding gold: Watch Japan's Yuto Horigome's ""knockout"" gold medal-winning runs in the men's street skateboarding final on day three of the Paris 2024 Olympics.",2024-07-29T21:57:13.000Z,https://bsky.app/profile/globalvoters.bsky.social/post/3kyhbstphgb22
acjsissons.bsky.social,We need to talk about how many swimming medals there are at the Olympics and how to reduce it…,2024-07-29T20:51:08.330Z,https://bsky.app/profile/acjsissons.bsky.social/post/3kyh64nr3hz2d
nowbreezing.ntw.app,"
Bluesky's Top 10 Trending Words from the Past 10 Minutes:
️⚠️💨1 - 馬術
️⚠️💨1 - 団体
️⚠️💨1 - メダル
️⚠️💨1 - プロセカ
️⚠️💨1 - オリンピック
️⚠️💨1 - sakal
️⚠️💨1 - nadal
8th - 総合
9th - ミク
10th - スケボー
(tap/click to see all posts on Bluesky featuring that word!)

#йобанарусня 🇺🇦",2024-07-29T12:30:43.710Z,https://bsky.app/profile/nowbreezing.ntw.app/post/3kygc5txyaz2s
