author,content,created_at,postLink
news-feed.bsky.social,"@XHNews: Emerging Olympic sports like breaking, skateboarding, sport climbing, and surfing at the 2024 Paris Olympics have captivated young Chinese, attracting a growing number of followers by pushing physical limits and exploring personal abilities. https://t.co/kdMS7XGLto",2024-08-13T03:21:54.185Z,https://bsky.app/profile/news-feed.bsky.social/post/3kzl2ic4hhm2s
news-feed.bsky.social,"@Forbes: Breaking, better known as break dancing, is making its Olympics debut at 2024 Summer Games, joining surfing, skateboarding and sport climbing as the newest Olympic sports. Here's what you need to know: https://t.co/gBxmyEruNr https://t.co/CC7kFQ2BRy",2024-08-09T18:54:47.081Z,https://bsky.app/profile/news-feed.bsky.social/post/3kzcmqpx3fx2o
globalvoters.bsky.social,"Colin Jost's run covering Olympic surfing in Tahiti comes to screeching halt after foot injury, infections: Comedian Colin Jost landed what appeared to be a dream assignment for the summer. In July, he traveled to Tahiti to cover surfing for the 2024 Summer Olympics.

But the ""Saturday Night Live""…",2024-08-08T20:42:36.000Z,https://bsky.app/profile/globalvoters.bsky.social/post/3kzaccmaeks26
amyrey3.bsky.social,"In the 2024 Olympics, there is so much visible ass (cheek bottoms and sides) in the women's events. Gymnastics, surfing, running, beach volleyball, even water polo! I will believe that teeny little briefs offer competitive advantages when male athletes start wearing them in these sports.",2024-08-08T18:25:12.111Z,https://bsky.app/profile/amyrey3.bsky.social/post/3kza2mwxaox2r
news-feed.bsky.social,"@XHNews: As the world's top surfing athletes gather at the 2024 Paris Olympics, the sport has generated strong enthusiasm for beach-goers in China. Xinhua's Yu Jiaming visits China's southern coastal city Beihai to sample the charm of riding waves. #GLOBALink https://t.co/yKZ1tvRfO6",2024-08-08T13:15:37.103Z,https://bsky.app/profile/news-feed.bsky.social/post/3kz7jddagvl2k
news-feed.bsky.social,"@CBSNews: Whale makes surprise appearance during 2024 Paris Olympics surfing competition in Tahiti
 https://t.co/21a1na5vRm",2024-08-07T05:01:21.104Z,https://bsky.app/profile/news-feed.bsky.social/post/3kz45alm6jk2f
astronautbeach.bsky.social,"A whale showing up at #surfing  🐳

#Paris2024    #Olympics",2024-08-06T08:00:14.827Z,https://bsky.app/profile/astronautbeach.bsky.social/post/3kyzwrl6k5s2a
news-feed.bsky.social,"@AFP: Olympics Topshots - 2.

@AFP photographers capture the action on Day 10 of the 2024 Paris #Olympics  

- The men's 3000m steeplechase
- The men's surfing gold medal final
- The women's 800m final
- The men's track cycling team pursuit qualifying round https://t.co/99NYBnFAmt",2024-08-06T03:04:55.280Z,https://bsky.app/profile/news-feed.bsky.social/post/3kyzgbhwuuk2i
waldograce.bsky.social,"French Polynesian Kauli Vaast and Caroline Marks of U.S. win gold at Paris Olympics surfing
#Olympics
#Surfing
#AP
https://apnews.com/article/2024-olympics-surfing-tahiti-medals-1b025616787b645a521afbcf2aed4d55",2024-08-06T02:17:01.000Z,https://bsky.app/profile/waldograce.bsky.social/post/3kyzdltg4xs2t
news-feed.bsky.social,"@AFP: Whale of a time.

@AFP photographer Jerome Brouillet captures a whale breaching as Brazil's Tatiana Weston-Webb and Costa Rica's Brisa Hennessy compete in the women's surfing semi-finals, during the 2024 #Olympics , in Teahupo'o, on the French Polynesian Island of Tahiti https://t.co/OrUTScyOF",2024-08-06T00:14:38.166Z,https://bsky.app/profile/news-feed.bsky.social/post/3kyz4qy5jcs2m
