author,content,created_at,postLink
maladroithe.bsky.social,You just have to tell them there are no electric kettles in the Olympic village,2024-08-13T00:27:03.938Z,https://bsky.app/profile/maladroithe.bsky.social/post/3kzkqpnlrnu2w
llewcid.bsky.social,Would watch the fuck out of a show where they pitted these people against an Olympian,2024-08-12T13:57:30.994Z,https://bsky.app/profile/llewcid.bsky.social/post/3kzjnjwet5p2a
cyclingeu.bsky.social,"CAN YOU BELIEVE THAT! 💨 | Water Polo – Serbia vs Croatia | #Paris2024

https://www.cyclingeu.com/353242/can-you-believe-that-%F0%9F%92%A8-water-polo-serbia-vs-croatia-paris2024/

Stream every moment of the Paris 2024 Olympics 🇫🇷 only on Max 📺 News and coverage from the #1 sports destination and …",2024-08-11T15:33:02.000Z,https://bsky.app/profile/cyclingeu.bsky.social/post/3kzhcfweeua2b
bayarea.bsky.social,US women's water polo looks to secure bronze in 2024 Paris Olympics,2024-08-09T00:25:28.000Z,https://bsky.app/profile/bayarea.bsky.social/post/3kzbgkiwyes26
globalvoters.bsky.social,"US women's water polo gold medal pursuit ends in heartbreak after shootout loss to Australia: The U.S. women’s water polo team was handed a shocking loss in the 2024 Paris Olympics semifinals on Thursday, losing to Australia by way of a shootout and ending their hopes of winning a fourth…",2024-08-08T20:10:39.000Z,https://bsky.app/profile/globalvoters.bsky.social/post/3kzaajhykik23
amyrey3.bsky.social,"In the 2024 Olympics, there is so much visible ass (cheek bottoms and sides) in the women's events. Gymnastics, surfing, running, beach volleyball, even water polo! I will believe that teeny little briefs offer competitive advantages when male athletes start wearing them in these sports.",2024-08-08T18:25:12.111Z,https://bsky.app/profile/amyrey3.bsky.social/post/3kza2mwxaox2r
jackiebarbosa.bsky.social,,2024-08-02T23:55:54.858Z,https://bsky.app/profile/jackiebarbosa.bsky.social/post/3kyrkcreqc72k
news-feed.bsky.social,"@AFP: Olympics Topshots - 1.

@AFP photographers capture the action on Day 6 of the 2024 Paris #Olympics 

- Artistic gymnastics women's all around final
- Water polo at the Aquatics Centre in Saint-Denis
- Women's 20km race walk at the Trocadero
- Women's Cycling BMX Racing quarterfinals in Saint-Q",2024-08-02T01:44:20.371Z,https://bsky.app/profile/news-feed.bsky.social/post/3kyp7vpbhkx26
npub1qspus6smkn8mcdxg5jflh50s69vdgtwsd5p74gmjpzp2qekn5duqfv5afj.momostr.pink.ap.brid.gy,"<https://image.nostr.build/59cb39d6095568d6f19eb51e6e8ed904d9007c4b4f724ab48a14d8a528c98ed8.jpg>

Japan’s Yusuke Inaba makes an attempt to score during a men’s water polo Group B preliminary match between Japan and France at the 2024 Summer Olympics, Tuesday […] 

[Original post on coracle.social]",2024-07-31T02:10:43.000Z,https://bsky.app/profile/npub1qspus6smkn8mcdxg5jflh50s69vdgtwsd5p74gmjpzp2qekn5duqfv5afj.momostr.pink.ap.brid.gy/post/3kykahcqypvn2
acjsissons.bsky.social,We need to talk about how many swimming medals there are at the Olympics and how to reduce it…,2024-07-29T20:51:08.330Z,https://bsky.app/profile/acjsissons.bsky.social/post/3kyh64nr3hz2d
