author,content,created_at,postLink
katie.bzky.team,"OKAY HERE IT IS. PARIS 2024 OLYMPICS SPORT TIER LIST.

this took way too long to make since i had to get a dabbling of all the remaining events but it's okay i love doing time theft on fridays",2024-09-13T22:10:45.402Z,https://bsky.app/profile/katie.bzky.team/post/3l42xzehj3r2y
maladroithe.bsky.social,You just have to tell them there are no electric kettles in the Olympic village,2024-08-13T00:27:03.938Z,https://bsky.app/profile/maladroithe.bsky.social/post/3kzkqpnlrnu2w
llewcid.bsky.social,Would watch the fuck out of a show where they pitted these people against an Olympian,2024-08-12T13:57:30.994Z,https://bsky.app/profile/llewcid.bsky.social/post/3kzjnjwet5p2a
cheekyian.bsky.social,"If I thought longer I'd probably have loads to choose from, but this was wonderful...",2024-08-11T17:16:34.444Z,https://bsky.app/profile/cheekyian.bsky.social/post/3kzhi6x7k7m2q
adelaidejewel.bsky.social,"Hey this is bullshit btw, and Jordan Chiles deserves better #Olympics",2024-08-10T20:57:18.768Z,https://bsky.app/profile/adelaidejewel.bsky.social/post/3kzfe2qjclc2m
nowbreezing.ntw.app,"
Bluesky's Top 10 Trending Words from the Past 10 Minutes:
️⚠️💨1 - hacked
️⚠️💨1 - fallon
️⚠️💨1 - basketball
️⚠️💨1 - politico
️⚠️💨1 - medal
️⚠️💨1 - lebron
️⚠️💨1 - jimmy
8th - iran
9th - ブレイキン
10th - www.politico.com/news/2024/08
(tap/click to see all posts on Bluesky featuring that word!)
",2024-08-10T20:00:35.106Z,https://bsky.app/profile/nowbreezing.ntw.app/post/3kzfavby3dn24
b2o6n4.bsky.social,"#SabrinaManecaVoinea 🇷🇴 falls during the women’s artistic gymnastics individual #balancebeam finals at the #2024SummerOlympics 8/5/2024 in Paris, France - AP/Morry Gash

#Photography #Photographs #Pictures #Photos #Sports #SportsPhotography #Gymnastics #Olympics #ParisOlympics2024 #Paris2024 #Romania",2024-08-06T03:27:37.184Z,https://bsky.app/profile/b2o6n4.bsky.social/post/3kyzhk2ryfk2j
b2o6n4.bsky.social,"#SabrinaManecaVoinea 🇷🇴 falls during the womens artistic gymnastics individual #balancebeam finals at the #2024SummerOlympics 8/5/2024 in Paris, France - AP /Morry Gash

#Photography #Photographs #Pictures #Photos #Sports #SportsPhotography #Gymnastics #Olympics #ParisOlympics2024 #Paris2024 #Romania",2024-08-06T03:23:16.677Z,https://bsky.app/profile/b2o6n4.bsky.social/post/3kyzhccflrc2x
b2o6n4.bsky.social,"#JuliaSoares 🇧🇷falls during the women’s artistic gymnastics individual #balancebeam finals at the #2024SummerOlympics 8/5/2024 in Paris, France -- AP /Morry Gash

#Photography #Photographs #Pictures #Photos #Sports #SportsPhotography #Gymnastics #Olympics #ParisOlympics2024 #Paris2024 #Brazil",2024-08-06T03:15:38.680Z,https://bsky.app/profile/b2o6n4.bsky.social/post/3kyzgunjqcc2j
b2o6n4.bsky.social,"#SimoneBiles 🇺🇸 falls during the women's artistic gymnastics individual #balancebeam finals at the #2024SummerOlympics 8/5/2024 Paris, France -- AP Photo/Morry Gash

#Photography #Photographs #Pictures #Photos #Sports #SportsPhotography #Gymnastics #Olympics #ParisOlympics2024 #Paris2024 #SimoneBiles",2024-08-06T01:23:55.952Z,https://bsky.app/profile/b2o6n4.bsky.social/post/3kyzamve6ec22
b2o6n4.bsky.social,"#SimoneBiles 🇺🇸 falls on the #balancebeam during the women's artistic gymnastics individual balance beam finals at the #2024SummerOlympics 8/5/2024 Paris, France - AP/Morry Gash

#Photography #Photographs #Pictures #Photos #Sports #SportsPhotography #Gymnastics #Olympics #ParisOlympics2024 #Paris2024",2024-08-06T01:13:29.415Z,https://bsky.app/profile/b2o6n4.bsky.social/post/3kyza27tovc27
b2o6n4.bsky.social,"#SuniLee 🇺🇸 falls during the women's artistic gymnastics individual #balancebeam finals at Bercy Arena at the #2024SummerOlympics 8/5/2024 in Paris, France - AP/Francisco Seco

#Photography #Photographs #Pictures #Photos #Sports #SportsPhotography #Gymnastics #Olympics #ParisOlympics2024 #Paris2024",2024-08-06T01:03:14.904Z,https://bsky.app/profile/b2o6n4.bsky.social/post/3kyz7hvss4k2e
simonee.bsky.social,THE GIRLS 🥹,2024-08-05T15:23:12.857Z,https://bsky.app/profile/simonee.bsky.social/post/3kyy72pvwfu2n
byteseu.bsky.social,"Paris Olympics 2024 * 05/08/2024 * Pitchforks out, Foconi is coming

https://www.byteseu.com/312981/

Medal events 08:00 – Triathlon: 4X mixed relay 09:30 – Shooting: Men’s 25m Pistol Final 09:45 – Badminton: women’s singles 1st/2nd final 11:45 – Artistic Gymnastics: Men’s Parallel Bars Final …",2024-08-05T06:52:17.000Z,https://bsky.app/profile/byteseu.bsky.social/post/3kyxcj6puyt22
uaap.bsky.social,"ANOTHER GOLD FOR CALOY! 🥇

Congratulations to Adamsonian Olympian Carlos Yulo for winning the gold medal in the Artistic Gymnastics Men's Vault at the 2024 Paris Olympics! 

The UAAP and your classmates are proud of you! Congrats again, Yulo! 👏",2024-08-04T15:36:29.854Z,https://bsky.app/profile/uaap.bsky.social/post/3kyvpdkmak52c
uaap.bsky.social,"Congratulations to Adamsonian-Olympian Carlos Yulo for winning the gold medal in the Men's Artistic Gymnastics Floor Exercise at the 2024 Paris Olympics! 

The UAAP and your Klasmeyts are proud of you! Congrats again, Yulo!",2024-08-04T05:20:04.767Z,https://bsky.app/profile/uaap.bsky.social/post/3kyumvcvc7t26
tomo.blue,Today's Google logo in Japan celebrates rings (artistic gymnastics) at the Paris 2024 Summer Olympic Games. #googledoodle #rings #artisticgymnastics #paris2024 #parisolympics #olympics #olympicgames,2024-08-04T03:34:40.830Z,https://bsky.app/profile/tomo.blue/post/3kyugythnln22
news-feed.bsky.social,"@AFP: Olympics Topshots - 2.

@AFP photographers capture the action on Day 6 of the 2024 Paris #Olympics 

- Artistic gymnastics at the Bercy Arena
- Fencing at the Grand Palais in Paris
- Windsurfing in Marseille
- Equestrian's jumping in Versailles https://t.co/I48xmHrJvQ",2024-08-02T02:17:59.901Z,https://bsky.app/profile/news-feed.bsky.social/post/3kypbrv57h32g
news-feed.bsky.social,"@AFP: Olympics Topshots - 1.

@AFP photographers capture the action on Day 6 of the 2024 Paris #Olympics 

- Artistic gymnastics women's all around final
- Water polo at the Aquatics Centre in Saint-Denis
- Women's 20km race walk at the Trocadero
- Women's Cycling BMX Racing quarterfinals in Saint-Q",2024-08-02T01:44:20.371Z,https://bsky.app/profile/news-feed.bsky.social/post/3kyp7vpbhkx26
news-feed.bsky.social,"@AFP: Olympics Topshots - 1.

@AFP photographers capture the action on Day 5 of the 2024 Paris #Olympics 

- Artistic gymnastics at the Bercy Arena
- Cycling BMX Freestyle Park Final 
- Sabre fencing at the Grand Palais
- Volleyball at the South Paris Arena https://t.co/d68xSHBTox",2024-08-01T01:42:47.807Z,https://bsky.app/profile/news-feed.bsky.social/post/3kympdzobnc23
sketchynews.net,"[CBS News]Simone Biles and Team USA win gold in women's gymnastics team final at 2024 Olympics - CBS News Days after an injury scare, Simone Biles​ and the U.S. women's artistic gymnastics team won gold in the team final — their first medal at the 2024 Paris Olympics​.",2024-08-01T00:30:13.927Z,https://bsky.app/profile/sketchynews.net/post/3kymlcb7w7z2j
sketchynews.net,"[CBS News]Simone Biles and Team USA win gold in women's gymnastics team final at 2024 Olympics - CBS News Days after an injury scare, Simone Biles​ and the U.S. women's artistic gymnastics team won gold in the team final — their first medal at the 2024 Paris Olympics​.",2024-08-01T00:15:20.444Z,https://bsky.app/profile/sketchynews.net/post/3kymkhn525k2z
warriorrabbit.bsky.social,"#Olympics
Gymnastics
Obama",2024-07-31T17:14:30.552Z,https://bsky.app/profile/warriorrabbit.bsky.social/post/3kylsx4zmuk2h
afp-bot.bsky.social,"Olympics Topshots - 2.

@AFP photographers capture the action on Day 4 of the 2024 Paris #Olympics  

- Artistic gymnastics women's team final at the Bercy Arena
- Volleyball match at the South Paris Arena
- Butterfly swimming at the Paris La Defense Arena
- Basketball at La Concorde",2024-07-31T04:24:16.762Z,https://bsky.app/profile/afp-bot.bsky.social/post/3kykhw5nu6r2t
news-feed.bsky.social,"@AFP: Olympics Topshots - 2.

@AFP photographers capture the action on Day 4 of the 2024 Paris #Olympics  

- Artistic gymnastics women's team final at the Bercy Arena
- Volleyball match at the South Paris Arena
- Butterfly swimming at the Paris La Defense Arena
- Basketball at La https://t.co/uHgcK",2024-07-31T04:24:05.375Z,https://bsky.app/profile/news-feed.bsky.social/post/3kykhvj7pks2q
c0nc0rdance.bsky.social,"I can't get enough of Olympic coverage of proud parents/family/spouses going absolutely wild when their athlete lands a perfect routine or whatever.

Simone Biles' cheering section gives me life.  All the joy.

(📷: Francisco Seco/AP)",2024-07-30T23:09:07.428Z,https://bsky.app/profile/c0nc0rdance.bsky.social/post/3kyjwcde62e2w
washingtonpost.com,"The U.S. women’s gymnastics team has returned to the top of the medal stand at the Olympics. Three years after Simone Biles’s withdrawal derailed the team’s gold-medal hopes, the Americans cruised to the gold here, with Biles as their steady leader.

More live updates here: wapo.st/4d2GI6u",2024-07-30T18:47:17.083Z,https://bsky.app/profile/washingtonpost.com/post/3kyjho45q5i2z
tomo.blue,Today's Google logo in Japan celebrates artistic gymnastics at the Paris 2024 Summer Olympic Games. #googledoodle #artisticgymnastics #paris2024 #parisolympics #olympics #olympicgames,2024-07-30T05:18:32.411Z,https://bsky.app/profile/tomo.blue/post/3kyi2hx5zi72m
news-feed.bsky.social,"@AFP: Olympics Topshots - 1.

@AFP photographers capture the action on Day 3 of the 2024 Paris #Olympics📷:

- artistic gymnastics at the Bercy Arena
- surfing on the French Polynesian Island of Tahiti
- artistic gymnastics at the Bercy Arena
- fencing at the Grand Palais https://t.co/AWABgQVEp3",2024-07-30T01:44:23.486Z,https://bsky.app/profile/news-feed.bsky.social/post/3kyhoizqwex2f
acjsissons.bsky.social,We need to talk about how many swimming medals there are at the Olympics and how to reduce it…,2024-07-29T20:51:08.330Z,https://bsky.app/profile/acjsissons.bsky.social/post/3kyh64nr3hz2d
news-feed.bsky.social,"@AFP: Olympics Topshots - 2.

@AFP photographers capture the action on Day 2 of the 2024 Paris #Olympics:

Equestrian's eventing cross country in Versailles
Artistic gymnastics at the Bercy Arena
Field hockey at the Yves-du-Manoir Stadium in Colombes
Badminton at the Porte de la https://t.co/olym5oF",2024-07-29T03:44:30.334Z,https://bsky.app/profile/news-feed.bsky.social/post/3kyfeqvmcnz22
globalvoters.bsky.social,"Watch: Biles produces stunning beam display on Olympics return: Watch USA's Simone Biles produce a sublime beam routine, scoring 14.733 on her return to Olympic action in the women's artistic gymnastics qualifying at Paris 2024.",2024-07-28T18:00:08.000Z,https://bsky.app/profile/globalvoters.bsky.social/post/3kyee3ycddp2j
globalvoters.bsky.social,"Watch: Biles produces stunning beam display on Olympics return: Watch USA's Simone Biles produce a sublime beam routine, scoring 14.733 on her return to Olympic action in the women's artistic gymnastics qualifying at Paris 2024.",2024-07-28T10:56:05.000Z,https://bsky.app/profile/globalvoters.bsky.social/post/3kydmfq2od22d
ansgarw.bsky.social,"The #Paris2024 Olympics will feature 45 different sports, with four of them present since the very first Games in 1896: Artistic Gymnastics 🤸, Athletics 🏟️, Fencing 🤺, and Swimming 🏊.

#dataviz 📊 #rstats #ggplot2 #SportsVizSunday",2024-07-28T09:44:06.212Z,https://bsky.app/profile/ansgarw.bsky.social/post/3kydiey72sw2x
boltatimes.bsky.social,"Sports included in Paris Olympics 2024:

1. Archery🏹
2. Artistic Gymnastics🤸
3. Artistic Swimming🏊
4. Athletics🏃
5. Badminton🏸
6. Basketball🏀
7. Basketball 3x3⛹️
8. Beach Volleyball🏖️
9. Boxing🥊
10. Breaking🕺
11. Canoe Slalom🚣
12. Canoe Sprint🚣‍♀️
13. Cycling BMX Freestyle🚴
14. Cycling BMX Racing🚵",2024-07-27T16:27:05.435Z,https://bsky.app/profile/boltatimes.bsky.social/post/3kybogphnb52u
dbeecher.bsky.social,"Take that, badminton and field hockey",2024-07-25T19:59:40.127Z,https://bsky.app/profile/dbeecher.bsky.social/post/3ky4zex3qdk2g
serrentix.bsky.social,excited for the lympics,2024-07-24T08:27:47.616Z,https://bsky.app/profile/serrentix.bsky.social/post/3kxzcath6qd24
blobcostas.bsky.social,"A tale of two countries 

#olympics",2024-07-20T01:45:11.041Z,https://bsky.app/profile/blobcostas.bsky.social/post/3kxojv7wyfu2n
