author,content,created_at,postLink
katie.bzky.team,"OKAY HERE IT IS. PARIS 2024 OLYMPICS SPORT TIER LIST.

this took way too long to make since i had to get a dabbling of all the remaining events but it's okay i love doing time theft on fridays",2024-09-13T22:10:45.402Z,https://bsky.app/profile/katie.bzky.team/post/3l42xzehj3r2y
cr4shalan.bsky.social,This Lego build was inspired by the Artistic Swimming Events at the Paris 2024 Olympics. I often use window panels to depict a cross section view of water. As for the swimmers: Ne touchez pas le fond!,2024-08-16T23:17:27.470Z,https://bsky.app/profile/cr4shalan.bsky.social/post/3kzuoouhsen2h
maladroithe.bsky.social,You just have to tell them there are no electric kettles in the Olympic village,2024-08-13T00:27:03.938Z,https://bsky.app/profile/maladroithe.bsky.social/post/3kzkqpnlrnu2w
llewcid.bsky.social,Would watch the fuck out of a show where they pitted these people against an Olympian,2024-08-12T13:57:30.994Z,https://bsky.app/profile/llewcid.bsky.social/post/3kzjnjwet5p2a
news-feed.bsky.social,"@AFP: Olympics Topshots - 2.

@AFP photographers capture the action on Day 12 of the 2024 Paris #Olympics 

- Artistic swimming event
- Men's 5000m heat
- Men's sport climbing lead semi final
- Men's greco-roman 77kg wrestling bronze medal match https://t.co/zsZ4LXDVdN",2024-08-08T02:54:17.815Z,https://bsky.app/profile/news-feed.bsky.social/post/3kz6gmcwcls2l
funnygodmother.bsky.social,I did not have “two consecutive non-American artistic swimming teams performed to Eminem’s Lose Yourself” on my 2024 Paris Olympics bingo card but I sure hope someone did because THAT happened 🤣🤣🤣,2024-08-08T02:39:43.438Z,https://bsky.app/profile/funnygodmother.bsky.social/post/3kz6fsbaebi2a
nytdiff.bsky.social,Change in URL,2024-08-07T21:40:15.183Z,https://bsky.app/profile/nytdiff.bsky.social/post/3kz5v2r6g3k2v
news-feed.bsky.social,@ChinaDaily: China claims first ever Olympic gold medal in team artistic swimming at Paris 2024 on Wednesday. #Paris2024 #TeamChina #Olympics https://t.co/h6zrSwd2ZJ,2024-08-07T18:48:34.313Z,https://bsky.app/profile/news-feed.bsky.social/post/3kz5lhrjdee24
toadsanime.lostincult.co.uk,"Japan's artistic swimming team performed to NieR:Automata's ""A Beautiful Song"" in their 2024 Olympics performance.

NieR's ""Song of the Ancients"" was used by Japan in the last Olympics in 2020:

gonintendo.com/contents/387...",2024-08-07T17:57:02.858Z,https://bsky.app/profile/toadsanime.lostincult.co.uk/post/3kz5ilmrfqs2u
tomo.blue,Today's Google logo in Japan celebrates artistic swimming at the Paris 2024 Summer Olympic Games. It's the same logo as yesterday. #googledoodle #artisticswimming #paris2024 #parisolympics #olympics #olympicgames,2024-08-06T03:13:52.009Z,https://bsky.app/profile/tomo.blue/post/3kyzgrhmgxs2f
news-feed.bsky.social,"@AFP: Olympics Topshots - 1.

@AFP photographers capture the action on Day 10 of the 2024 Paris #Olympics 

- The men's pole vault final
- Technical routine in artistic swimming
- Women's uneven bars final
- Finish line in the mixed relay triathlon race https://t.co/tHoSXanuDU",2024-08-06T02:21:43.135Z,https://bsky.app/profile/news-feed.bsky.social/post/3kyzdu7uy7226
tomo.blue,Today's Google logo in Japan celebrates artistic swimming at the Paris 2024 Summer Olympic Games. #googledoodle #artisticswimming #paris2024 #parisolympics #olympics #olympicgames,2024-08-05T03:06:20.409Z,https://bsky.app/profile/tomo.blue/post/3kywvv36vd223
globalvoters.bsky.social,"Douglass' 200m breaststroke gold was 'a long time coming' - NBC Olympics: * Douglass' 200m breaststroke gold was 'a long time coming'  NBC Olympics
 * Kate Douglass wins gold, but for the U.S., the pool is full of silver  The Washington Post
 * Artistic swimming at Paris 2024 Olympics: Preview,…",2024-08-02T13:28:08.000Z,https://bsky.app/profile/globalvoters.bsky.social/post/3kyqha6wcg22j
afp-bot.bsky.social,"Olympics Topshots - 2.

@AFP photographers capture the action on Day 4 of the 2024 Paris #Olympics  

- Artistic gymnastics women's team final at the Bercy Arena
- Volleyball match at the South Paris Arena
- Butterfly swimming at the Paris La Defense Arena
- Basketball at La Concorde",2024-07-31T04:24:16.762Z,https://bsky.app/profile/afp-bot.bsky.social/post/3kykhw5nu6r2t
