author,content,created_at,postLink
katie.bzky.team,"OKAY HERE IT IS. PARIS 2024 OLYMPICS SPORT TIER LIST.

this took way too long to make since i had to get a dabbling of all the remaining events but it's okay i love doing time theft on fridays",2024-09-13T22:10:45.402Z,https://bsky.app/profile/katie.bzky.team/post/3l42xzehj3r2y
travertin.bsky.social,"Athletics at the Olympics Games Paris 2024
📍Stade de France, Sant Denis, France
📷Positif+ - Nikon Z fc
#flickr flic.kr/p/2q82VxF",2024-08-31T19:03:18.597Z,https://bsky.app/profile/travertin.bsky.social/post/3l2zxi7aq7k2g
thetokusource.com,"The 2024 Paris Olympics are, by now, a distant memory but fear not, sports fan, the pinnacle of suit actor athletics (and antics) is here to fill that void!

Read more:
thetokusource.com/2024/08/29/r...

#kamenrider #reiwa #reiwasportsday #eitoku #gotchard #gavv #olympics",2024-08-29T09:10:00.168Z,https://bsky.app/profile/thetokusource.com/post/3l2tvfhrltm27
dopinglist.bsky.social,"Bahrain charged with âserious anti-doping rule violationsâ before Paris Olympics
https://www.irishtimes.com/sport/athletics/2024/08/22/bahrain-charged-with-serious-anti-doping-rule-violations-before-paris-olympics/#doping #cleansport #antidoping",2024-08-22T14:28:23.000Z,https://bsky.app/profile/dopinglist.bsky.social/post/3l2ctwe6hno2n
bbcsports.bsky.social,"Hodgkinson to miss rest of 2024 season with injury
Olympic 800m champion Keely Hodgkinson will miss the rest of the 2024 athletics season because of injury.
https://www.bbc.com/sport/olympics/articles/cjrd1pyygnzo #Sports #BBCSports",2024-08-21T22:31:11.438Z,https://bsky.app/profile/bbcsports.bsky.social/post/3l2b6gqr5s22k
dopinglist.bsky.social,"AIU files appeal with CAS in Knighton case
https://sportstar.thehindu.com/athletics/aiu-files-appeal-with-cas-knighton-doping-case-compete-paris-2024-olympics-us-trials-wada-news/article68526454.ece#doping #cleansport #antidoping",2024-08-14T18:25:22.000Z,https://bsky.app/profile/dopinglist.bsky.social/post/3kzp5gqig7i23
peck7235.bsky.social,"I'm going to start with an ""In general, I agree with you"" but if we had a penny for each time it's happened this year . . . 

We'd only have tuppence but it's weird that its happened twice.

chiswickcalendar.co.uk/chiswick-oly...

www.bbc.co.uk/news/article...",2024-08-13T21:34:02.010Z,https://bsky.app/profile/peck7235.bsky.social/post/3kzmxj4whgd23
musicman.mastodon.social.ap.brid.gy,why on earth would you not send everyone you could? https://www.telegraph.co.uk/olympics/2024/08/12/team-gb-athletics-divisive-selection-policy/,2024-08-13T01:21:02.000Z,https://bsky.app/profile/musicman.mastodon.social.ap.brid.gy/post/3kzktq7nkczz2
dopinglist.bsky.social,"Sprinter Mulamba provisionally suspended for banned substance - Reuters
https://www.reuters.com/sports/olympics/athletics-sprinter-mulamba-provisionally-suspended-banned-substance-2024-08-11/#doping #cleansport #antidoping",2024-08-11T17:52:28.000Z,https://bsky.app/profile/dopinglist.bsky.social/post/3kzhk75hgw226
byteseu.bsky.social,"Paris Olympics 2024 * 11/08/2024 * Where despite the controversies we will miss the Olympics

https://www.byteseu.com/328559/

Ok Google, search for CDG-LAX flights for 2028. Medal events 08:00 – Athletics: Women’s Marathon 11:30 – Weightlifting: Women’s +81kg Final 12:20 – Freestyle wrestling: …",2024-08-11T05:13:12.000Z,https://bsky.app/profile/byteseu.bsky.social/post/3kzg7rjqgqc2s
nowbreezing.ntw.app,"
Bluesky's Top 10 Trending Words from the Past 10 Minutes:
️⚠️💨3 - phil
️⚠️💨2 - wizard
️⚠️💨1 - lebron
️⚠️💨1 - wemby
️⚠️💨1 - embiid
️⚠️💨1 - politico
️⚠️💨1 - medal
️⚠️💨1 - dany
️⚠️💨1 - relay
10th - internal
(tap/click to see all posts on Bluesky featuring that word!)

#ListenToBlackVoices",2024-08-10T19:40:35.665Z,https://bsky.app/profile/nowbreezing.ntw.app/post/3kzf7rk4i4a2g
nowbreezing.ntw.app,"
Bluesky's Top 10 Trending Words from the Past 10 Minutes:
️⚠️💨2 - phil
️⚠️💨1 - wizard
️⚠️💨1 - relay
️⚠️💨1 - shigekix
️⚠️💨1 - 4x400
6th - medal
7th - breakdancing
8th - vulnerabilities
9th - politico
10th - hacked
(tap/click to see all posts on Bluesky featuring that word!)

#FreePalestine 🇵🇸",2024-08-10T19:10:35.727Z,https://bsky.app/profile/nowbreezing.ntw.app/post/3kzf63vlehy2f
chklaue.bsky.social,"🔹In Germany, ARD delivered the highest sports competition audience of Paris 2024 to date with 8.0 million viewers for Athletics coverage. This is the highest audience for dedicated Olympic Athletics coverage since London 2012

➡️ Selected broadcast Audience & IOC Digital figures

#Paris2024 #Olympics",2024-08-10T09:22:57.984Z,https://bsky.app/profile/chklaue.bsky.social/post/3kze5b5hqqn22
byteseu.bsky.social,"Paris Olympics 2024 * 10/08/2024 * Where floors are cleaned with Breaking

https://www.byteseu.com/326127/

The only true Olympic anthem Medal events 08:00 – Athletics: Men’s Marathon 09:00 – Golf: Women’s Individual Final 11:30 – Weightlifting: Men’s 102kg final 12:35 – Sport climbing: women’s …",2024-08-10T05:39:12.000Z,https://bsky.app/profile/byteseu.bsky.social/post/3kzdqr3ywfy2j
npub1q6mcr8tlr3l4gus3sfnw6772s7zae6hqncmw5wj27ejud5wcxf7q0nx7d5.momostr.pink.ap.brid.gy,"We will celebrate by going to the DQ tonight

<https://www.cbc.ca/sports/olympics/summer/athletics/track/mens-4x100-relay-paris-2024-aug-9-1.7289956>",2024-08-09T19:34:24.000Z,https://bsky.app/profile/npub1q6mcr8tlr3l4gus3sfnw6772s7zae6hqncmw5wj27ejud5wcxf7q0nx7d5.momostr.pink.ap.brid.gy/post/3kzcoxnvtlej2
tonymcpan.bsky.social,How awesome for De Grasse abd the team 👍🏼🇨🇦❤️👍🏼https://www.cbc.ca/sports/olympics/summer/athletics/track/mens-4x100-relay-paris-2024-aug-9-1.7289956,2024-08-09T19:30:28.437Z,https://bsky.app/profile/tonymcpan.bsky.social/post/3kzcoqk4ab42q
byteseu.bsky.social,"Canadian men’s 4x100m relay team wins gold medal in stunning fashion

https://www.byteseu.com/324987/

Canadian men’s 4x100m relay team wins gold medal in stunning fashion https://www.cbc.ca/sports/olympics/summer/athletics/track/mens-4×100-relay-paris-2024-aug-9-1.7289956",2024-08-09T18:39:09.000Z,https://bsky.app/profile/byteseu.bsky.social/post/3kzclutsjog2c
nowbreezing.ntw.app,"
Bluesky's Top 10 Trending Words from the Past 10 Minutes:
️⚠️💨1 - horace
️⚠️💨1 - relay
️⚠️💨1 - trem
️⚠️💨1 - modem
️⚠️💨1 - ukraine
️⚠️💨1 - qualquer
️⚠️💨1 - poste
️⚠️💨1 - paulo
️⚠️💨1 - 62
️⚠️💨1 - men's
(tap/click to see all posts on Bluesky featuring that word!)

#йобанарусня 🇺🇦",2024-08-09T18:10:40.414Z,https://bsky.app/profile/nowbreezing.ntw.app/post/3kzckbthqxv2b
emarktaylor.mastodon.online.ap.brid.gy,"#Olympics #Paris2024 @olympicschat #Athletics #TrackAndField

Via Timothy Burke ‪@bubbaprog.ilovecitr.us‬

The U.S. men's 4x100 vs the U.S. women's 4x100 in the past four Olympics

2012: DQ, GOLD
2016: DQ, GOLD
2020: DNQ, SILVER
2024: DQ, GOLD",2024-08-09T18:05:04.000Z,https://bsky.app/profile/emarktaylor.mastodon.online.ap.brid.gy/post/3kzcjxzhbk6y2
bbcnews-uk-rss.bsky.social,Paris 2024 Olympics athletics highlights: Max Burgin reaches men's 800m final,2024-08-09T15:08:05.365Z,https://bsky.app/profile/bbcnews-uk-rss.bsky.social/post/3kzca3ehxbs25
news-feed.bsky.social,"@guardiannews: Paris 2024 Olympics day 14: heptathlon heating up in athletics; climbing, diving and more – live https://t.co/OcSvqjpdIO",2024-08-09T10:19:22.880Z,https://bsky.app/profile/news-feed.bsky.social/post/3kzbpx4lsuq22
news-feed.bsky.social,"@guardiannews: Paris 2024 Olympics day 14: open water swimming, athletics, golf and more – live https://t.co/T19LcFw0xi",2024-08-09T05:58:03.138Z,https://bsky.app/profile/news-feed.bsky.social/post/3kzbbdt7hb225
news-feed.bsky.social,"@guardian: Paris 2024 Olympics day 14: open water swimming, athletics, golf and more – live https://t.co/hFgPsm4TlL",2024-08-09T04:55:17.782Z,https://bsky.app/profile/news-feed.bsky.social/post/3kzb5tlzuxc23
australia.theguardian.com,"Paris 2024 Olympics day 14: open water swimming, athletics, golf and more – live",2024-08-09T04:04:08.145Z,https://bsky.app/profile/australia.theguardian.com/post/3kzb2y4n5ok2g
