author,content,created_at,postLink
katie.bzky.team,"OKAY HERE IT IS. PARIS 2024 OLYMPICS SPORT TIER LIST.

this took way too long to make since i had to get a dabbling of all the remaining events but it's okay i love doing time theft on fridays",2024-09-13T22:10:45.402Z,https://bsky.app/profile/katie.bzky.team/post/3l42xzehj3r2y
rohithnair.bsky.social,"I've covered sports at various venues for years. I don't think anything will beat the foot of the Eiffel Tower! 

Beach Volleyball at the Olympic Games in Paris will forever be a highlight.

I'm going to miss this desk! 

#Olympics
#Paris2024",2024-08-23T05:35:11.660Z,https://bsky.app/profile/rohithnair.bsky.social/post/3l2egltkx3d2b
Lazarou.mastodon.social.ap.brid.gy,"Why didn't you, you fucking nonce? The narcissistic entitlement of this creep......😡

https://www.theguardian.com/sport/article/2024/aug/14/dutch-beach-volleyball-player-raped-child-breaks-silence-over-olympics-steven-van-de-velde

#Olympics2024",2024-08-14T13:15:18.000Z,https://bsky.app/profile/Lazarou.mastodon.social.ap.brid.gy/post/3kzom4ipwtll2
kbizoom.bsky.social,#HanSohee Spotted At 2024 Olympics Beach Volleyball Match In Paris,2024-08-11T05:56:10.000Z,https://bsky.app/profile/kbizoom.bsky.social/post/3kzgc6cs5722x
globalvoters.bsky.social,"Kerri Walsh Jennings on why Santa Monica, birthplace of beach volleyball, reigns supreme ahead of LA Olympics: While all eyes are looking on at Paris for the 2024 Summer Olympics, Kerri Walsh Jennings can't wait for what's to come four years from now in a place that helped her becomde the beach…",2024-08-10T13:47:34.000Z,https://bsky.app/profile/globalvoters.bsky.social/post/3kzem2deyxq2j
globalvoters.bsky.social,"Kerri Walsh Jennings explains why Santa Monica would 'ideally' be home of beach volleyball in 2028 LA Olympics: While all eyes are looking on at Paris for the 2024 Summer Olympics, Kerri Walsh Jennings can't wait for what's to come four years from now in a place that helped her becomde the beach…",2024-08-10T10:17:11.000Z,https://bsky.app/profile/globalvoters.bsky.social/post/3kzeac4daqk2k
amyrey3.bsky.social,"In the 2024 Olympics, there is so much visible ass (cheek bottoms and sides) in the women's events. Gymnastics, surfing, running, beach volleyball, even water polo! I will believe that teeny little briefs offer competitive advantages when male athletes start wearing them in these sports.",2024-08-08T18:25:12.111Z,https://bsky.app/profile/amyrey3.bsky.social/post/3kza2mwxaox2r
mvario.bsky.social,"Paris Olympics 2024: Beach Volleyball Controversy Explained | The Mary Sue

www.themarysue.com/paris-olympi...

> A bunch of creepy men have decided it's ""controversial"" that some female beach volleyball players wore pants.",2024-08-07T01:06:09.711Z,https://bsky.app/profile/mvario.bsky.social/post/3kz3q3z77cc2z
coachmichaelh.bsky.social,Eiffel Tower Stadium during an Olympics 2024 beach volleyball evening game #flickr flic.kr/p/2q8mtnf,2024-08-06T01:39:33.772Z,https://bsky.app/profile/coachmichaelh.bsky.social/post/3kyzbitpwfd2m
fxoxo.bsky.social,"Convicted child rapist Steven Van de Velde has been eliminated from Paris Olympics

https://www.fxoxo.com/105125/

https://apnews.com/article/2024-olympics-beach-volleyball-convicted-rapist-659554ae5121f9acdc33d8a8a32bba5a by Sufficient_Motor_458",2024-08-05T01:00:08.000Z,https://bsky.app/profile/fxoxo.bsky.social/post/3kywoti3kys2y
news-feed.bsky.social,@AP: Meet the artist whose job is to paint beach volleyball at the 2024 Olympics https://t.co/iGG9j9e4fv,2024-08-03T10:32:37.775Z,https://bsky.app/profile/news-feed.bsky.social/post/3kysnvbmx5c2y
apnews-world-rss.bsky.social,Meet the artist whose job is to paint beach volleyball at the 2024 Olympics,2024-08-02T21:45:59.107Z,https://bsky.app/profile/apnews-world-rss.bsky.social/post/3kyrd2g45ku2n
kitfoxgames.com,Summer Olympics 2024 but dogs 🐶🏖,2024-07-30T13:49:23.772Z,https://bsky.app/profile/kitfoxgames.com/post/3kyiwzeyn7b25
news-feed.bsky.social,"@guardiannews: Paris 2024 Olympics day four: triathlon postponed due to pollution; hockey, beach volleyball and more – live https://t.co/NH7cJTVrC1",2024-07-30T08:33:46.978Z,https://bsky.app/profile/news-feed.bsky.social/post/3kyiff3dfc42c
acjsissons.bsky.social,We need to talk about how many swimming medals there are at the Olympics and how to reduce it…,2024-07-29T20:51:08.330Z,https://bsky.app/profile/acjsissons.bsky.social/post/3kyh64nr3hz2d
byteseu.bsky.social,"Olympics 2024: Boos against convicted sex offender

https://www.byteseu.com/294208/

Olympics 2024: Boos against convicted sex offender https://www.zdf.de/nachrichten/panorama/kriminalitaet/olympia-paris-beach-volleyball-steven-van-de-velde-ausgebuht-102.html Posted by rhabarberabar",2024-07-28T19:39:08.000Z,https://bsky.app/profile/byteseu.bsky.social/post/3kyejn2t6if2u
news-feed.bsky.social,"@NBCNews: Sunset colors the sky at Eiffel Tower Stadium as U.S. women's beach volleyball teammates Kristen Ness and Taryn Kloth (left) warm up before a match on Saturday night at the 2024 Paris Olympics.

https://t.co/azeMp4AFUU

📷 Nathan Denette / AP https://t.co/cWsRPem45W",2024-07-28T11:07:09.976Z,https://bsky.app/profile/news-feed.bsky.social/post/3kydmzjc7rj2o
wsfm.bsky.social,"LlVE 🔴 Netherlands vs Italy | Men's Beach Volleyball - Olympics 2024
--
Matthew Immers/Steven van de Velde VS
Adrian Carambula/Alex Ranghieri
#Olympics2024 

Link 1 👉 is.gd/UyI4Gs
Link 2 👉 is.gd/wrQtLH",2024-07-28T08:35:26.222Z,https://bsky.app/profile/wsfm.bsky.social/post/3kydek7q7wb2c
news-feed.bsky.social,@euronews: Van de Velde’s presence in Paris has drawn negative attention to 2024's beach volleyball games. Advocates for rape victims and some Olympics officials have said he should have been left at home. https://t.co/ZLNvkDxien https://t.co/5C6LU8EG6R,2024-07-28T04:20:22.958Z,https://bsky.app/profile/news-feed.bsky.social/post/3kycwc4q3ji2e
boltatimes.bsky.social,"Sports included in Paris Olympics 2024:

1. Archery🏹
2. Artistic Gymnastics🤸
3. Artistic Swimming🏊
4. Athletics🏃
5. Badminton🏸
6. Basketball🏀
7. Basketball 3x3⛹️
8. Beach Volleyball🏖️
9. Boxing🥊
10. Breaking🕺
11. Canoe Slalom🚣
12. Canoe Sprint🚣‍♀️
13. Cycling BMX Freestyle🚴
14. Cycling BMX Racing🚵",2024-07-27T16:27:05.435Z,https://bsky.app/profile/boltatimes.bsky.social/post/3kybogphnb52u
helenaoftroy.bsky.social,compare and contrast:,2024-07-27T12:49:35.722Z,https://bsky.app/profile/helenaoftroy.bsky.social/post/3kybcbqqrqd26
dbeecher.bsky.social,"Take that, badminton and field hockey",2024-07-25T19:59:40.127Z,https://bsky.app/profile/dbeecher.bsky.social/post/3ky4zex3qdk2g
totr.bsky.social,"[CW: child sexual abuse]

vocal anti-trans campaigner Paula Radcliffe would like to be clear: she's fine with the child rapist competing, she just doesn't wish him luck",2024-07-25T06:24:18.676Z,https://bsky.app/profile/totr.bsky.social/post/3ky3lsz44tz2a
blobcostas.bsky.social,"A tale of two countries 

#olympics",2024-07-20T01:45:11.041Z,https://bsky.app/profile/blobcostas.bsky.social/post/3kxojv7wyfu2n
chlowski.bsky.social,"the Olympics start soon, let's look at the particip- what",2024-07-19T18:20:31.103Z,https://bsky.app/profile/chlowski.bsky.social/post/3kxnr25r5ap2q
inbella.bsky.social,"IOC played no part in Dutch decision to pick convicted rapist for Netherlands’s beach volleyball team for 2024 Summer Olympics

https://www.inbella.com/664735/ioc-played-no-part-in-dutch-decision-to-pick-convicted-rapist-for-netherlandss-beach-volleyball-team-for-2024-summer-olympics/

IOC played …",2024-07-08T20:44:23.000Z,https://bsky.app/profile/inbella.bsky.social/post/3kwsdxcpmgc25
fxoxo.bsky.social,"IOC played no part in Dutch decision to pick convicted rapist for Netherlands’s beach volleyball team for 2024 Summer Olympics

https://www.fxoxo.com/98410/

IOC played no part in Dutch decision to pick convicted rapist for Netherlands’s beach volleyball team for 2024 Summer Olympics by lala_b11",2024-07-08T20:42:11.000Z,https://bsky.app/profile/fxoxo.bsky.social/post/3kwsdteimh52h
