author,content,created_at,postLink
worldboxingnews.net,Gennadiy Golovkin drafted in to save boxing at LA 2028 Olympics www.worldboxingnews.net/2024/09/27/g... #GGG #LA2028 #boxing,2024-09-27T09:16:41.159Z,https://bsky.app/profile/worldboxingnews.net/post/3l54tc3dlpw25
liveforfilms.bsky.social,"TIFF 2024 Review: The Fire Inside. Read it here bit.ly/47tM1tG by Trevor Hogg
#thefireinside #film #boxing #olympics #ryandestiny #claressashields #BrianTyreeHenry #tiff #TIFF24",2024-09-16T10:59:07.966Z,https://bsky.app/profile/liveforfilms.bsky.social/post/3l4bdv64qol2x
katie.bzky.team,"OKAY HERE IT IS. PARIS 2024 OLYMPICS SPORT TIER LIST.

this took way too long to make since i had to get a dabbling of all the remaining events but it's okay i love doing time theft on fridays",2024-09-13T22:10:45.402Z,https://bsky.app/profile/katie.bzky.team/post/3l42xzehj3r2y
obscuricom.bsky.social,LMAO,2024-08-19T09:13:21.646Z,https://bsky.app/profile/obscuricom.bsky.social/post/3l22qwb4xwf2g
manolocinco.bsky.social,"The ""right"" was more upset about a woman boxing than they were about the Netherlands sending a convicted pedophile to the Olympics.

www.cnn.com/2024/08/15/s...",2024-08-16T20:12:07.884Z,https://bsky.app/profile/manolocinco.bsky.social/post/3kzuedh57ms2s
paulinepark.bsky.social,"Naomi Brussel & I discuss the transphobic attacks on the 2024 #Olympics women's boxing champions #ImaneKhelif of Algeria & #LinYuTing of Taiwan on Out-FM on WBAI 99.5 FM New York:

outfm.org/liberation/i...",2024-08-16T00:43:26.669Z,https://bsky.app/profile/paulinepark.bsky.social/post/3kzsczp72tu2w
nijiironews.bsky.social,"JK Rowling and Elon Musk named in cyberbullying lawsuit filed by Olympic boxer Imane Khelif
https://www.thepinknews.com/2024/08/14/imane-khelif-lawsuit-jk-rowling-elon-musk-boxing-olympics/",2024-08-14T12:20:01.564Z,https://bsky.app/profile/nijiironews.bsky.social/post/3kzoizhakey2z
bennelson.bsky.social,2024 Paris Olympics Highlights and Lowlights: From Hijab Bans to Social Cleansing to Boxing Gold www.youtube.com/watch?v=j847...,2024-08-14T05:29:50.698Z,https://bsky.app/profile/bennelson.bsky.social/post/3kzns3y73qp2j
nijiironews.bsky.social,"BBC pundit Matthew Pinsent blames IOC for the Paris Olympics boxing gender row
https://www.thepinknews.com/2024/08/12/paris-olympics-bbc-pundit-matthew-pinsent-married-wife-demetria/",2024-08-12T12:26:03.931Z,https://bsky.app/profile/nijiironews.bsky.social/post/3kzjigfvqio2x
news-feed.bsky.social,"@MiddleEastEye: The International Olympic Committee stripped the International Boxing Association of its recognition as boxing's governing body and expelled it from the Olympics prior to Paris 2024, over corruption, poor governance and a lack of financial transparency
",2024-08-12T03:00:52.314Z,https://bsky.app/profile/news-feed.bsky.social/post/3kziitqyrdf2s
