author,content,created_at,postLink
maladroithe.bsky.social,You just have to tell them there are no electric kettles in the Olympic village,2024-08-13T00:27:03.938Z,https://bsky.app/profile/maladroithe.bsky.social/post/3kzkqpnlrnu2w
llewcid.bsky.social,Would watch the fuck out of a show where they pitted these people against an Olympian,2024-08-12T13:57:30.994Z,https://bsky.app/profile/llewcid.bsky.social/post/3kzjnjwet5p2a
aboz.bsky.social,"Australia shined brightly at the 2024 Paris Olympics, making history with an impressive medal haul of 43, including 18 golds! Our athletes dominated in swimming, track and field, cycling, rowing, and sailing, proving their dedication and skill on the global stage.",2024-08-11T15:03:46.828Z,https://bsky.app/profile/aboz.bsky.social/post/3kzharjhest2h
news-feed.bsky.social,@Independent: Olympics 2024 LIVE: Women’s marathon updates and Emma Finucane in track cycling  https://t.co/COZEtSOiYS,2024-08-11T06:54:50.514Z,https://bsky.app/profile/news-feed.bsky.social/post/3kzgfh7fr322s
news-feed.bsky.social,"@AFP: Olympics Topshots - 1.

@AFP photographers capture the action on Day 13 of the 2024 Paris #Olympics 

-  Rhythmic gymnastics' individual all-around qualification
-  Women's 10km marathon swimming final
-  Men's freestyle 57kg wrestling semi-final
-  Women's track cycling keirin https://t.co/9P",2024-08-09T02:54:45.085Z,https://bsky.app/profile/news-feed.bsky.social/post/3kzax42fl7s2v
kentparkskeet.bsky.social,,2024-08-08T03:20:41.873Z,https://bsky.app/profile/kentparkskeet.bsky.social/post/3kz6i3jsi7f2q
australia.theguardian.com,"Paris 2024 Olympics day 12: track cycling records fall, skateboarding, golf and athletics – live",2024-08-07T13:34:09.450Z,https://bsky.app/profile/australia.theguardian.com/post/3kz4zvklaoc2k
maviscruet.bsky.social,"I really thought this was a headline writing error. But no, our skateboarder is 51. He must be the oldest athlete at the games?",2024-08-07T13:06:54.455Z,https://bsky.app/profile/maviscruet.bsky.social/post/3kz4yetv53c2r
news-feed.bsky.social,"@AFP: Olympics Topshots - 2.

@AFP photographers capture the action on Day 10 of the 2024 Paris #Olympics  

- The men's 3000m steeplechase
- The men's surfing gold medal final
- The women's 800m final
- The men's track cycling team pursuit qualifying round https://t.co/99NYBnFAmt",2024-08-06T03:04:55.280Z,https://bsky.app/profile/news-feed.bsky.social/post/3kyzgbhwuuk2i
bbcnews-uk-rss.bsky.social,Paris 2024 Olympics track cycling video: Team GB win women's team sprint gold in world record time,2024-08-05T19:41:40.981Z,https://bsky.app/profile/bbcnews-uk-rss.bsky.social/post/3kyynivmsar23
