author,content,created_at,postLink
news-feed.bsky.social,"@ChinaDaily: Sixty-five athletes and eight coaches from the national team, which achieved outstanding results at the 2024 Paris #Olympics, will be in Hong Kong from Aug 29 to 31, including champions in events such as diving, swimming and table tennis. (Photos: Adam Lam) #Paris2024 https://t.co/LcSZT",2024-08-29T08:19:08.312Z,https://bsky.app/profile/news-feed.bsky.social/post/3l2tskj72ya2s
simon-taylor.net,"📽️ Movie Challenge 2024 - Week 33

Watch a movie with an Olympics connection.

This week I watched movies featuring synchronised swimming, golf, wrestling, diving and running:

Water Lilies (2007)
Lost in Translation (2003)
The Wrestler (2008)
DIVE (2022)
Chariots of Fire (1981)",2024-08-18T23:51:31.455Z,https://bsky.app/profile/simon-taylor.net/post/3kzzrjmqtdk2w
maladroithe.bsky.social,You just have to tell them there are no electric kettles in the Olympic village,2024-08-13T00:27:03.938Z,https://bsky.app/profile/maladroithe.bsky.social/post/3kzkqpnlrnu2w
llewcid.bsky.social,Would watch the fuck out of a show where they pitted these people against an Olympian,2024-08-12T13:57:30.994Z,https://bsky.app/profile/llewcid.bsky.social/post/3kzjnjwet5p2a
news-feed.bsky.social,"@guardiannews: Paris 2024 Olympics day 14: heptathlon heating up in athletics; climbing, diving and more – live https://t.co/OcSvqjpdIO",2024-08-09T10:19:22.880Z,https://bsky.app/profile/news-feed.bsky.social/post/3kzbpx4lsuq22
psyhunter29.bsky.social,"""Sport Girl Summer 2024 - Cammy"" 
 
SGS is back for the #olympics, featuring four #streetfighter women taking on the #triathlon.  First is Cammy on the swimming leg.

Alt versions coming soon to Patreon.",2024-08-08T00:35:07.672Z,https://bsky.app/profile/psyhunter29.bsky.social/post/3kz66thk7np2c
news-feed.bsky.social,"@guardiannews: Paris 2024 Olympics day 12: women’s golf begins, diving, canoe sprint and more – live https://t.co/17DZx653Yj",2024-08-07T04:35:13.973Z,https://bsky.app/profile/news-feed.bsky.social/post/3kz43rv2ybk2z
news-feed.bsky.social,"@guardiannews: Paris 2024 Olympics day 12: women’s golf begins, diving, canoe sprint and more – live https://t.co/wcjXYo63xk",2024-08-07T04:18:08.133Z,https://bsky.app/profile/news-feed.bsky.social/post/3kz42tcyapc2f
redjolt.bsky.social,Not to nitpick but I think it’s called bronze in the Olympics,2024-08-06T13:07:19.055Z,https://bsky.app/profile/redjolt.bsky.social/post/3kz2hwnfnfb2e
emjric.bsky.social,"#ThreeGoodThings

1. There's a trend on Tiktok called ""why I didn't make the 2024 Olympics Tean"" which is just people falling off diving boards and parallel bars and every one I see makes me HOWL.
2. Reading my library books.
3. A SUCCULENT CHINESE MEAL.",2024-08-03T22:49:26.359Z,https://bsky.app/profile/emjric.bsky.social/post/3kytx2stxyd2f
