author,content,created_at,postLink
simon-taylor.net,"📽️ Movie Challenge 2024 - Week 33

Watch a movie with an Olympics connection.

This week I watched movies featuring synchronised swimming, golf, wrestling, diving and running:

Water Lilies (2007)
Lost in Translation (2003)
The Wrestler (2008)
DIVE (2022)
Chariots of Fire (1981)",2024-08-18T23:51:31.455Z,https://bsky.app/profile/simon-taylor.net/post/3kzzrjmqtdk2w
maladroithe.bsky.social,You just have to tell them there are no electric kettles in the Olympic village,2024-08-13T00:27:03.938Z,https://bsky.app/profile/maladroithe.bsky.social/post/3kzkqpnlrnu2w
llewcid.bsky.social,Would watch the fuck out of a show where they pitted these people against an Olympian,2024-08-12T13:57:30.994Z,https://bsky.app/profile/llewcid.bsky.social/post/3kzjnjwet5p2a
radar.bsky.social,"The Blue Devils continued competition at the 2024 Olympics on Saturday with action in golf, basketball and track and field. Here is a recap from action on Aug. 10",2024-08-11T09:36:41.928Z,https://bsky.app/profile/radar.bsky.social/post/3kzgoinluim2x
nowbreezing.ntw.app,"
Bluesky's Top 10 Trending Words from the Past 10 Minutes:
️⚠️💨1 - uswnt
️⚠️💨1 - brazil
3rd - 日付
4th - コミケ
5th - hrt
6th - helicopter
7th - futebol
8th - bora
9th - ブレイキン
10th - pelosi
(tap/click to see all posts on Bluesky featuring that word!)

#йобанарусня 🇺🇦",2024-08-10T15:10:45.216Z,https://bsky.app/profile/nowbreezing.ntw.app/post/3kzeqozv3xt2n
nowbreezing.ntw.app,"
Bluesky's Top 10 Trending Words from the Past 10 Minutes:
️⚠️💨1 - ブレイキン
️⚠️💨1 - コミケ
️⚠️💨1 - helicopter
️⚠️💨1 - gaza
5th - 台風
6th - ukraine
7th - 卓球
8th - ブラ
9th - ハート
10th - お盆
(tap/click to see all posts on Bluesky featuring that word!)

#йобанарусня 🇺🇦",2024-08-10T14:50:36.043Z,https://bsky.app/profile/nowbreezing.ntw.app/post/3kzepkyqjmn2x
nowbreezing.ntw.app,"
Bluesky's Top 10 Trending Words from the Past 10 Minutes:
️⚠️💨1 - ブレイキン
️⚠️💨1 - コミケ
3rd - csd
4th - breakdancing
5th - buildings
6th - 生き物
7th - ダンス
8th - waterpolo
9th - nc
10th - lee
(tap/click to see all posts on Bluesky featuring that word!)

#FreePalestine 🇵🇸",2024-08-10T14:40:35.803Z,https://bsky.app/profile/nowbreezing.ntw.app/post/3kzeoz4d3g424
byteseu.bsky.social,"Paris Olympics 2024 * 10/08/2024 * Where floors are cleaned with Breaking

https://www.byteseu.com/326127/

The only true Olympic anthem Medal events 08:00 – Athletics: Men’s Marathon 09:00 – Golf: Women’s Individual Final 11:30 – Weightlifting: Men’s 102kg final 12:35 – Sport climbing: women’s …",2024-08-10T05:39:12.000Z,https://bsky.app/profile/byteseu.bsky.social/post/3kzdqr3ywfy2j
news-feed.bsky.social,"@guardiannews: Paris 2024 Olympics day 14: open water swimming, athletics, golf and more – live https://t.co/T19LcFw0xi",2024-08-09T05:58:03.138Z,https://bsky.app/profile/news-feed.bsky.social/post/3kzbbdt7hb225
news-feed.bsky.social,"@guardian: Paris 2024 Olympics day 14: open water swimming, athletics, golf and more – live https://t.co/hFgPsm4TlL",2024-08-09T04:55:17.782Z,https://bsky.app/profile/news-feed.bsky.social/post/3kzb5tlzuxc23
