author,content,created_at,postLink
johnosborn.bsky.social,"I think you mean “Former Congressman, Astronaut, Nobel Prize, Pulitzer Prize, and Fields Medal Winner, and Gold Medalist at the 2024 Olympics Modern Pentathlon competition.”",2024-08-16T23:57:32.686Z,https://bsky.app/profile/johnosborn.bsky.social/post/3kzuqwklv3l2k
earthnewstrending.bsky.social,"The modern pentathlon, soon to break from military...#news https://www.npr.org/2024/08/10/g-s1-16085/pentathlon-military-tradition-break-last-ride-paris-olympics",2024-08-11T22:53:05.637Z,https://bsky.app/profile/earthnewstrending.bsky.social/post/3kzi2yp3whm2w
azzageddi.bsky.social,"I’ve been interested in modern pentathlon since learning my uni fencing teacher had been an Olympic coach for it. I’m not sad about the change—it seems like it should be an ever-evolving sport. 
https://www.npr.org/2024/08/10/g-s1-16085/pentathlon-military-tradition-break-last-ride-paris-olympics",2024-08-11T07:32:12.178Z,https://bsky.app/profile/azzageddi.bsky.social/post/3kzghjzb2c72p
tranniehathaway.bsky.social,"""Which sports will be new at the Los Angeles Olympics?

Flag football, squash and obstacle racing. Yes, “American Ninja Warrior”-style obstacle racing, to replace the horses and pep up modern pentathlon.""

apnews.com/article/2024...",2024-08-10T23:37:40.219Z,https://bsky.app/profile/tranniehathaway.bsky.social/post/3kzfmzib2dc2a
news-feed.bsky.social,@WSJ: The ancient sport of modern pentathlon is saying goodbye to horses after the 2024 #Olympics in favor of something even more modern: an obstacle course straight out of “American Ninja Warrior.” 🔗 https://t.co/qpaScCWK1B https://t.co/gJr2HLqBJv,2024-08-09T15:22:53.469Z,https://bsky.app/profile/news-feed.bsky.social/post/3kzcavtcath2e
ashleysays.bsky.social,Okay pentathlon is wild. They should be the MVPs of the Olympics,2024-08-08T12:05:20.707Z,https://bsky.app/profile/ashleysays.bsky.social/post/3kz7ffoad4y2e
spinkysmama.bsky.social,"The Team GB 2024 modern pentathlon team sadly don’t appear to have followed the approach to team photos of their predecessors to fully capture the spread of the sport, with extra vibes of “the last mini cab after the fancy dress party”.",2024-08-01T12:58:06.748Z,https://bsky.app/profile/spinkysmama.bsky.social/post/3kynv3lcvkk23
acjsissons.bsky.social,We need to talk about how many swimming medals there are at the Olympics and how to reduce it…,2024-07-29T20:51:08.330Z,https://bsky.app/profile/acjsissons.bsky.social/post/3kyh64nr3hz2d
news-feed.bsky.social,"@AFP: VIDEO: 🇫🇷 From Louis XIV to the #Olympics: Versailles, city of horses

The Chateau of Versailles is ready to host the 2024 Olympic Games' equestrian and modern pentathlon events. In this western Parisian town, horses have long been omnipresent #Paris2024 https://t.co/p21chT39eE",2024-07-29T09:33:00.885Z,https://bsky.app/profile/news-feed.bsky.social/post/3kyfya3fkfi2l
lancewallace.bsky.social,"We watched the opening ceremonies in Paris, and I started reminiscing about covering the Atlanta Olympics in 1996. Of all the events I attended, the most memorable was the modern pentathlon. That dramatic tale is this week's Olympic edition of New South Essays. newsouthessays.com/2024/07/27/o...",2024-07-27T11:56:18.109Z,https://bsky.app/profile/lancewallace.bsky.social/post/3kyb7ch67et2p
