author,content,created_at,postLink,Sentiment_Score,Sentiment_Label
katie.bzky.team,"OKAY HERE IT IS. PARIS 2024 OLYMPICS SPORT TIER LIST.

this took way too long to make since i had to get a dabbling of all the remaining events but it's okay i love doing time theft on fridays",2024-09-13T22:10:45.402Z,https://bsky.app/profile/katie.bzky.team/post/3l42xzehj3r2y,0.874,Positive
maladroithe.bsky.social,You just have to tell them there are no electric kettles in the Olympic village,2024-08-13T00:27:03.938Z,https://bsky.app/profile/maladroithe.bsky.social/post/3kzkqpnlrnu2w,-0.296,Negative
llewcid.bsky.social,Would watch the fuck out of a show where they pitted these people against an Olympian,2024-08-12T13:57:30.994Z,https://bsky.app/profile/llewcid.bsky.social/post/3kzjnjwet5p2a,-0.5423,Negative
eucup.bsky.social,"BISSOUMA TAKES ON SARR IN ARCHERY 🏹

https://www.eucup.com/753984/

To celebrate the 2024 Olympics whilst in South Korea, Yves Bissouma takes on Pape Matar Sarr in an Archery contest. SPURSPLAY is live! Check it out now ► https://bit.ly/3a9klBi SUBSCRIBE to ensure you don’t miss a video from the …",2024-08-05T19:23:02.000Z,https://bsky.app/profile/eucup.bsky.social/post/3kyymhopxz62z,0.7177,Positive
nowbreezing.ntw.app,"
Bluesky's Top 10 Trending Words from the Past 10 Minutes:
️⚠️💨4 - 早田
️⚠️💨2 - ひな
️⚠️💨2 - 銅メダル
️⚠️💨1 - 卓球
️⚠️💨1 - 花火
️⚠️💨1 - 選手
️⚠️💨1 - 大会
8th - fleisch
9th - dvd
10th - agrees
(tap/click to see all posts on Bluesky featuring that word!)

#FreePalestine 🇵🇸",2024-08-03T12:50:41.705Z,https://bsky.app/profile/nowbreezing.ntw.app/post/3kysvm5road2a,0.4389,Positive
kw1q51lv3r.bsky.social,"Yeah I mean in retrospect i only see the resemblance in this specific angle when she’s wearing her bucket hat, but also 80% of the tv shots were from this position

So her name is Quinty Roeffen, the 2024 European Archery and Indoor World Series junior champion",2024-08-03T02:13:46.879Z,https://bsky.app/profile/kw1q51lv3r.bsky.social/post/3kyrrzbi4ah22,0.7876,Positive
fogolf.bsky.social,"🔴Day 7 : Paris Olympics 2024 | Badminton | Shooting | Archery | Golf | Lakshya Sen VS Chou Tien chen

https://www.fogolf.com/769567/%F0%9F%94%B4day-7-paris-olympics-2024-badminton-shooting-archery-golf-lakshya-sen-vs-chou-tien-chen/

🔴Day 7 : Paris Olympics 2024 | Badminton | Shooting | Archery | …",2024-08-02T17:34:06.000Z,https://bsky.app/profile/fogolf.bsky.social/post/3kyquxzqauc2h,0.0,Neutral
nowbreezing.ntw.app,"
Bluesky's Top 10 Trending Words from the Past 10 Minutes:
️⚠️💨4 - バニー
️⚠️💨1 - boxing
️⚠️💨1 - 8/2
️⚠️💨1 - morocco
️⚠️💨1 - khelif
️⚠️💨1 - ron
7th - men's
8th - medal
9th - barr
10th - お盆
(tap/click to see all posts on Bluesky featuring that word!)

#йобанарусня 🇺🇦",2024-08-02T14:40:39.990Z,https://bsky.app/profile/nowbreezing.ntw.app/post/3kyqlbuwf332s,0.636,Positive
news-feed.bsky.social,"@DailySabah: Turkish archery coach Yusuf Göktuğ Ergin beams with pride as team clinches historic bronze medal at Paris 2024 Olympics, marking new era of excellence for sport
https://t.co/jLrL5JrLr5",2024-08-01T07:02:44.630Z,https://bsky.app/profile/news-feed.bsky.social/post/3kynba4x23l2w,0.8625,Positive
inbella.bsky.social,"Eminem representing Italy in Archery at the 2024 Olympics 😂😂😂

https://www.inbella.com/683167/eminem-representing-italy-in-archery-at-the-2024-olympics-%F0%9F%98%82%F0%9F%98%82%F0%9F%98%82/

Eminem representing Italy in Archery at the 2024 Olympics 😂😂😂 Posted by lala_b11",2024-07-31T18:22:11.000Z,https://bsky.app/profile/inbella.bsky.social/post/3kylwq7no222c,0.0,Neutral
