author,content,created_at,postLink,Sentiment_Score,Sentiment_Label
katie.bzky.team,"OKAY HERE IT IS. PARIS 2024 OLYMPICS SPORT TIER LIST.

this took way too long to make since i had to get a dabbling of all the remaining events but it's okay i love doing time theft on fridays",2024-09-13T22:10:45.402Z,https://bsky.app/profile/katie.bzky.team/post/3l42xzehj3r2y,0.874,Positive
travertin.bsky.social,"Athletics at the Olympics Games Paris 2024
📍Stade de France, Sant Denis, France
📷Positif+ - Nikon Z fc
#flickr flic.kr/p/2q82VxF",2024-08-31T19:03:18.597Z,https://bsky.app/profile/travertin.bsky.social/post/3l2zxi7aq7k2g,0.0,Neutral
thetokusource.com,"The 2024 Paris Olympics are, by now, a distant memory but fear not, sports fan, the pinnacle of suit actor athletics (and antics) is here to fill that void!

Read more:
thetokusource.com/2024/08/29/r...

#kamenrider #reiwa #reiwasportsday #eitoku #gotchard #gavv #olympics",2024-08-29T09:10:00.168Z,https://bsky.app/profile/thetokusource.com/post/3l2tvfhrltm27,-0.7926,Negative
dopinglist.bsky.social,"Bahrain charged with âserious anti-doping rule violationsâ before Paris Olympics
https://www.irishtimes.com/sport/athletics/2024/08/22/bahrain-charged-with-serious-anti-doping-rule-violations-before-paris-olympics/#doping #cleansport #antidoping",2024-08-22T14:28:23.000Z,https://bsky.app/profile/dopinglist.bsky.social/post/3l2ctwe6hno2n,-0.2023,Negative
bbcsports.bsky.social,"Hodgkinson to miss rest of 2024 season with injury
Olympic 800m champion Keely Hodgkinson will miss the rest of the 2024 athletics season because of injury.
https://www.bbc.com/sport/olympics/articles/cjrd1pyygnzo #Sports #BBCSports",2024-08-21T22:31:11.438Z,https://bsky.app/profile/bbcsports.bsky.social/post/3l2b6gqr5s22k,-0.4404,Negative
dopinglist.bsky.social,"AIU files appeal with CAS in Knighton case
https://sportstar.thehindu.com/athletics/aiu-files-appeal-with-cas-knighton-doping-case-compete-paris-2024-olympics-us-trials-wada-news/article68526454.ece#doping #cleansport #antidoping",2024-08-14T18:25:22.000Z,https://bsky.app/profile/dopinglist.bsky.social/post/3kzp5gqig7i23,0.0,Neutral
peck7235.bsky.social,"I'm going to start with an ""In general, I agree with you"" but if we had a penny for each time it's happened this year . . . 

We'd only have tuppence but it's weird that its happened twice.

chiswickcalendar.co.uk/chiswick-oly...

www.bbc.co.uk/news/article...",2024-08-13T21:34:02.010Z,https://bsky.app/profile/peck7235.bsky.social/post/3kzmxj4whgd23,-0.0772,Negative
musicman.mastodon.social.ap.brid.gy,why on earth would you not send everyone you could? https://www.telegraph.co.uk/olympics/2024/08/12/team-gb-athletics-divisive-selection-policy/,2024-08-13T01:21:02.000Z,https://bsky.app/profile/musicman.mastodon.social.ap.brid.gy/post/3kzktq7nkczz2,0.0,Neutral
dopinglist.bsky.social,"Sprinter Mulamba provisionally suspended for banned substance - Reuters
https://www.reuters.com/sports/olympics/athletics-sprinter-mulamba-provisionally-suspended-banned-substance-2024-08-11/#doping #cleansport #antidoping",2024-08-11T17:52:28.000Z,https://bsky.app/profile/dopinglist.bsky.social/post/3kzhk75hgw226,-0.7269,Negative
byteseu.bsky.social,"Paris Olympics 2024 * 11/08/2024 * Where despite the controversies we will miss the Olympics

https://www.byteseu.com/328559/

Ok Google, search for CDG-LAX flights for 2028. Medal events 08:00 – Athletics: Women’s Marathon 11:30 – Weightlifting: Women’s +81kg Final 12:20 – Freestyle wrestling: …",2024-08-11T05:13:12.000Z,https://bsky.app/profile/byteseu.bsky.social/post/3kzg7rjqgqc2s,0.6597,Positive
