author,content,created_at,postLink,Sentiment_Score,Sentiment_Label
katie.bzky.team,"OKAY HERE IT IS. PARIS 2024 OLYMPICS SPORT TIER LIST.

this took way too long to make since i had to get a dabbling of all the remaining events but it's okay i love doing time theft on fridays",2024-09-13T22:10:45.402Z,https://bsky.app/profile/katie.bzky.team/post/3l42xzehj3r2y,0.874,Positive
eqf18.bsky.social,"Title: Victory Before Us

Click ""alt"" for details.

Maybe criticism/suggestions about my art because I used too many Layers when drawing, so the Line Art loading process was messy 😓

#digitalart #HariKemerdekaanRI #RI79 #IndonesiaIndependenceDay",2024-08-29T14:58:38.797Z,https://bsky.app/profile/eqf18.bsky.social/post/3l2uiuv5omh2l,-0.3612,Negative
maladroithe.bsky.social,You just have to tell them there are no electric kettles in the Olympic village,2024-08-13T00:27:03.938Z,https://bsky.app/profile/maladroithe.bsky.social/post/3kzkqpnlrnu2w,-0.296,Negative
llewcid.bsky.social,Would watch the fuck out of a show where they pitted these people against an Olympian,2024-08-12T13:57:30.994Z,https://bsky.app/profile/llewcid.bsky.social/post/3kzjnjwet5p2a,-0.5423,Negative
hongkongfp.com,23 Hong Kong athletes will be competing at the Paris 2024 Paralympic Games from August 28 to September 8. Chief Exec. John Lee said during a flag presentation on Friday that Hong Kong was thrilled by the Olympics and athletes will continue to be supported by all of society. Photos: Hans Tse/HKFP.,2024-08-09T11:50:32.012Z,https://bsky.app/profile/hongkongfp.com/post/3kzbv247wkc2f,0.6369,Positive
fediverse.youronly.one,"“Political rivals. Badminton adversaries. What to know about…” Taiwan _and_ China

https://www.usatoday.com/story/sports/olympics/2024/08/05/badminton-fan-sign-taiwan-china-rivalry/74670284007/

#Taiwan #Taipei #China #APAC #AsiaPacific #Olympics #Paris2024",2024-08-06T01:06:57.000Z,https://bsky.app/profile/fediverse.youronly.one/post/3kyz7pk33rcs2,-0.25,Negative
byteseu.bsky.social,"Women’s badminton has a new legend. Who is Korea’s An Se-young?

https://www.byteseu.com/313595/

Women’s badminton has a new legend. Who is Korea’s An Se-young? https://koreajoongangdaily.joins.com/news/2024-08-05/sports/olympics/Womens-badminton-has-a-new-legend-Who-is-Koreas-An-Seyoung/2106239 …",2024-08-05T12:39:12.000Z,https://bsky.app/profile/byteseu.bsky.social/post/3kyxvvjzhi22m,0.0,Neutral
byteseu.bsky.social,"Paris Olympics 2024 * 05/08/2024 * Pitchforks out, Foconi is coming

https://www.byteseu.com/312981/

Medal events 08:00 – Triathlon: 4X mixed relay 09:30 – Shooting: Men’s 25m Pistol Final 09:45 – Badminton: women’s singles 1st/2nd final 11:45 – Artistic Gymnastics: Men’s Parallel Bars Final …",2024-08-05T06:52:17.000Z,https://bsky.app/profile/byteseu.bsky.social/post/3kyxcj6puyt22,0.4767,Positive
wsfm.bsky.social,"Live 🔴 An Se-young VS He Bing-jiao | O Badminton Olympics 2024
-
Women's Singles Gold Medal Match 🥇
#Olympics #Badminton

Link 1 👉 is.gd/l5WvNa
Link 2 👉 is.gd/D4OUKh",2024-08-05T05:47:34.364Z,https://bsky.app/profile/wsfm.bsky.social/post/3kyx6vgaxxc2r,0.4767,Positive
karelpeka.bsky.social,"#Taiwan’s Lee Yang and Wang Chi-Lin have made history by winning the gold medal in men’s doubles badminton at the Paris 2024 Olympics, defeating #China. This achievement also makes them the first Taiwanese duo to win gold at two consecutive Olympics! #viaX Wen-Yee Lee 李玟儀",2024-08-04T17:54:27.510Z,https://bsky.app/profile/karelpeka.bsky.social/post/3kyvx2a2yv72s,0.8398,Positive
nowbreezing.ntw.app,"
Bluesky's Top 10 Trending Words from the Past 10 Minutes:
️⚠️💨2 - ヒロ
️⚠️💨2 - 松山
️⚠️💨2 - メダル
️⚠️💨1 - sparta
️⚠️💨1 - ゴルフ
️⚠️💨1 - thiel
️⚠️💨1 - shingles
️⚠️💨1 - 本誌
9th - 英樹
10th - 確定
(tap/click to see all posts on Bluesky featuring that word!)

#ListenToBlackVoices",2024-08-04T15:40:18.809Z,https://bsky.app/profile/nowbreezing.ntw.app/post/3kyvpkdzbp72c,0.2714,Positive
nowbreezing.ntw.app,"
Bluesky's Top 10 Trending Words from the Past 10 Minutes:
️⚠️💨4 - djokovic
️⚠️💨2 - ヒロ
️⚠️💨1 - alcaraz
️⚠️💨1 - novak
️⚠️💨1 - iq
️⚠️💨1 - tennis
️⚠️💨1 - gifted
️⚠️💨1 - thiel
9th - ジョコビッチ
10th - aug
(tap/click to see all posts on Bluesky featuring that word!)

#йобанарусня 🇺🇦",2024-08-04T15:10:19.310Z,https://bsky.app/profile/nowbreezing.ntw.app/post/3kyvnupxjfs24,0.2714,Positive
fuzzface.epsilon-ix.masto.host.ap.brid.gy,Spectator dragged from arena for holding up Taiwan banner during Olympic badminton match | CNN https://www.cnn.com/2024/08/03/sport/olympics-taiwan-banner-backlash-intl/index.html #Olympics @olympicschat,2024-08-03T22:01:57.000Z,https://bsky.app/profile/fuzzface.epsilon-ix.masto.host.ap.brid.gy/post/3kytugdpa3z42,-0.0516,Negative
aaronl1968.bsky.social,"Security at the Paris Olympics ejected a fan brandishing a green banner that read “Go Taiwan” at a badminton match on Friday, sparking anger from the island’s authorities and refocusing attention on the complex rules that require #Taiwan to compete as “Chinese Taipei.” amp.cnn.com/cnn/2024/08/...",2024-08-03T15:00:06.468Z,https://bsky.app/profile/aaronl1968.bsky.social/post/3kyt4tkv5dq2l,-0.0,Neutral
