author,content,created_at,postLink,Sentiment_Score,Sentiment_Label
hirsutable.bsky.social,"Oh and if you care, he claims Australia is about as good at comedy as it is at... breakdancing. Because he is very smart and definitely not fuelled by ignorance, rage, and memes.",2024-09-21T21:55:23.736Z,https://bsky.app/profile/hirsutable.bsky.social/post/3l4p2vafcr62i,0.9015,Positive
katie.bzky.team,"OKAY HERE IT IS. PARIS 2024 OLYMPICS SPORT TIER LIST.

this took way too long to make since i had to get a dabbling of all the remaining events but it's okay i love doing time theft on fridays",2024-09-13T22:10:45.402Z,https://bsky.app/profile/katie.bzky.team/post/3l42xzehj3r2y,0.874,Positive
bestforbritain.bsky.social,"Good morning, my internationalist skywalkers. This is @sturdyalex.bsky.social with your news round-up.

Stay tuned for breaking stories, opinion, and analysis. Also, parliament has its first full day back today! ~AA",2024-09-03T08:30:21.737Z,https://bsky.app/profile/bestforbritain.bsky.social/post/3l3afj6qlvg25,0.4926,Positive
rk70534.bsky.social,"
'...Manizha Talash was disqualified from the Paris 2024 Olympics for promoting gender equality.

An Afghan breaker... Manizha Talash... was given the boot from the Olympics’ breaking competition after she competed wearing a cape that said “Free Afghan Women.”

www.hrw.org/the-day-in-h...",2024-08-19T21:41:15.116Z,https://bsky.app/profile/rk70534.bsky.social/post/3l242pouhqo2b,-0.0772,Negative
lovenba.bsky.social,"🚨BREAKING: 76ers SIGNING Guerschon Yabusele After 2024 Olympics | Philadelphia 76ers News

https://www.lovenba.com/1446219/

🚨BREAKING: 76ers SIGNING Guerschon Yabusele After 2024 Olympics | Philadelphia 76ers News BREAKING Philadelphia 76ers news: The 76ers are signing Team France’s Olympic …",2024-08-18T19:18:07.000Z,https://bsky.app/profile/lovenba.bsky.social/post/3kzzcaszjs62p,0.0,Neutral
katzonearth.bsky.social,You know the guy who wrote this was itching to call them “heterodox moves”,2024-08-17T23:59:14.454Z,https://bsky.app/profile/katzonearth.bsky.social/post/3kzxbiip7kc2t,0.0,Neutral
preclude.swifties.social,"Peacock Has Removed Raygun and the Entire Olympics Breaking Competition Off The Platform 

😢

decider.com/2024/08/15/p...",2024-08-16T18:46:48.424Z,https://bsky.app/profile/preclude.swifties.social/post/3kzu7kvjwfa25,0.0,Neutral
zefram.bsky.social,"Australia: *sighs* No... no, she really was the best we had. 😑",2024-08-15T20:08:19.061Z,https://bsky.app/profile/zefram.bsky.social/post/3kzrtnq7yko2a,0.5046,Positive
earthnewstrending.bsky.social,"Pakistan rewards javelin champion Nadeem with $359,000 for record-breaking throw at Paris Olympics ISLAMABAD (AP) — Olym...#news https://www.kaieteurnewsonline.com/2024/08/14/pakistan-rewards-javelin-champion-nadeem-with-359000-for-record-breaking-throw-at-paris-olympics/",2024-08-14T19:05:31.215Z,https://bsky.app/profile/earthnewstrending.bsky.social/post/3kzp7ojm65e2l,0.7906,Positive
mombian.bsky.social,"Although queer parents made up a small fraction of the record-breaking number of out queer athletes at the Paris Olympics, a high percentage of them came home with medals. Meet them here—and see some of the kids’ reactions to their parents’ new hardware! #LGBTQ mombian.com/2024/08/14/q...",2024-08-14T17:42:32.849Z,https://bsky.app/profile/mombian.bsky.social/post/3kzp325dj322a,0.1511,Positive
rureal.bsky.social,"Guess Raygun's husband chose comedy/parody/farce over actual medal contenders

(Breaking, Olympics 2024)",2024-08-14T15:25:35.135Z,https://bsky.app/profile/rureal.bsky.social/post/3kzotfbky4w2k,0.4767,Positive
manofmany.bsky.social,"Nick Hall recaps the historic Paris 2024 Olympics, spotlighting record-breaking moments, groundbreaking gender equality, and new tech innovations that redefined the Games! 🇫🇷🏅 Read about it all here: https://manofmany.com/entertainment/sport/paris-2024-olympics-review @slicknickwrites #Paris2024…",2024-08-14T03:01:44.583Z,https://bsky.app/profile/manofmany.bsky.social/post/3kznjt7wehl22,0.0,Neutral
Archie8.mastodonapp.uk.ap.brid.gy,If there was an Olympic medal for pure cringe Rachael Gunn deserved Gold,2024-08-13T17:54:18.000Z,https://bsky.app/profile/Archie8.mastodonapp.uk.ap.brid.gy/post/3kzmladdw2qc2,0.4767,Positive
thecscce.bsky.social,"3 - Program Development skills - They also have to look ahead to the future, maybe handing off a project as funding shifts, or exploring new opportunities for engagement.",2024-08-13T14:19:51.848Z,https://bsky.app/profile/thecscce.bsky.social/post/3kzm7bk5kx32b,0.6808,Positive
