author,content,created_at,postLink,Sentiment_Score,Sentiment_Label
katie.bzky.team,"OKAY HERE IT IS. PARIS 2024 OLYMPICS SPORT TIER LIST.

this took way too long to make since i had to get a dabbling of all the remaining events but it's okay i love doing time theft on fridays",2024-09-13T22:10:45.402Z,https://bsky.app/profile/katie.bzky.team/post/3l42xzehj3r2y,0.874,Positive
BBCtopstories.mastodonapp.uk.ap.brid.gy,"Clarke misses out on canoe slalom medal
https://www.bbc.com/sport/olympics/videos/c3g0ee4461mo

At: 2024-08-01T17:16:04.000Z",2024-08-02T12:13:14.000Z,https://bsky.app/profile/BBCtopstories.mastodonapp.uk.ap.brid.gy/post/3kyqd2cuavzm2,0.296,Positive
globalvoters.bsky.social,"Clarke misses out on canoe slalom medal: Watch as Great Britain's Joe Clarke misses out on a medal despite a ""fabulous effort"" in the men's canoe slalom on day six of the Paris 2024 Olympics.",2024-08-01T18:57:13.000Z,https://bsky.app/profile/globalvoters.bsky.social/post/3kyoj5pvwcc2o,0.6931,Positive
news-feed.bsky.social,"@AFP: Olympics Topshots - 2.

@AFP photographers capture the action on Day 5 of the 2024 Paris #Olympics 

- Canoe slalom competition at Vaires-sur-Marne Nautical Stadium
- Women's synchronised 10m platform diving final
- Group C basketball match between USA and South Sudan in Villeneuve-d'Ascq
- Th",2024-08-01T02:05:23.913Z,https://bsky.app/profile/news-feed.bsky.social/post/3kymqmgptnr2t,0.0772,Positive
globalvoters.bsky.social,Team GB's Burgess wins brilliant canoe slalom silver: Watch the silver medal-winning run from Great Britain's Adam Burgess in the men's canoe slalom at the Paris 2024 Olympics.,2024-07-30T12:04:07.000Z,https://bsky.app/profile/globalvoters.bsky.social/post/3kyir57tndg2p,0.9118,Positive
acjsissons.bsky.social,We need to talk about how many swimming medals there are at the Olympics and how to reduce it…,2024-07-29T20:51:08.330Z,https://bsky.app/profile/acjsissons.bsky.social/post/3kyh64nr3hz2d,0.0,Neutral
nowbreezing.ntw.app,"
Bluesky's Top 10 Trending Words from the Past 10 Minutes:
️⚠️💨1 - wolverine
️⚠️💨1 - judo
3rd - olympics
4th - olympic
5th - monkey
6th - walz
7th - polo
8th - 柔道
9th - hardly
10th - deadpool
(tap/click to see all posts on Bluesky featuring that word!)

#йобанарусня 🇺🇦",2024-07-27T16:50:35.290Z,https://bsky.app/profile/nowbreezing.ntw.app/post/3kybpqodor72y,0.2714,Positive
boltatimes.bsky.social,"Sports included in Paris Olympics 2024:

1. Archery🏹
2. Artistic Gymnastics🤸
3. Artistic Swimming🏊
4. Athletics🏃
5. Badminton🏸
6. Basketball🏀
7. Basketball 3x3⛹️
8. Beach Volleyball🏖️
9. Boxing🥊
10. Breaking🕺
11. Canoe Slalom🚣
12. Canoe Sprint🚣‍♀️
13. Cycling BMX Freestyle🚴
14. Cycling BMX Racing🚵",2024-07-27T16:27:05.435Z,https://bsky.app/profile/boltatimes.bsky.social/post/3kybogphnb52u,0.0,Neutral
arnie-dxer.mastodon.radio.ap.brid.gy,"I know TV is king, but let's look at some #radio schedules in Europe & beyond to see if it still gets some consideration as a medium to live the #Olympics with.

And #BBC never disappoints in this regard!

Coverage all day long, every day, even with today's […] 

[Original post on mastodon.radio]",2024-07-26T15:38:39.000Z,https://bsky.app/profile/arnie-dxer.mastodon.radio.ap.brid.gy/post/3ky73bdykobz2,0.471,Positive
news-feed.bsky.social,"@Jerusalem_Post: Australia’s Jessica Fox is already widely regarded as the greatest individual slalom canoe paddler of all time, having four Olympic medals under her belt. Now she’s getting another honor: flag bearer at the Paris 2024 Olympics.

https://t.co/D8QLp1OrtR",2024-07-26T01:56:19.508Z,https://bsky.app/profile/news-feed.bsky.social/post/3ky5ncpbwl32p,0.8126,Positive
dbeecher.bsky.social,"Take that, badminton and field hockey",2024-07-25T19:59:40.127Z,https://bsky.app/profile/dbeecher.bsky.social/post/3ky4zex3qdk2g,0.0,Neutral
