author,content,created_at,postLink,Sentiment_Score,Sentiment_Label
warriorrabbit.bsky.social,"USWNT
Alex Morgan",2024-09-05T20:53:42.098Z,https://bsky.app/profile/warriorrabbit.bsky.social/post/3l3gpy7v6xj24,0.0,Neutral
hellomotta.bsky.social,"Brazil x Argentina on #blindfootball coming up soon at the #paralympic games. Should be a great match. Vai 🇧🇷🇧🇷🇧🇷https://www.paralympic.org/en/paris-2024-paralympics/results/blind-football/men/sfnl000200--

#soccer #football #brazilxargentina #paralympicgames #paris2024 #olympics",2024-09-05T17:23:50.702Z,https://bsky.app/profile/hellomotta.bsky.social/post/3l3geay4ujq2s,0.6249,Positive
icecricnewsupdates.bsky.social,www.icecric.news/2024-acc-pre... The 2025 ACC Premier Cup promises thrilling cricket action as top Asian teams compete for the prestigious title. Featuring intense matches and emerging talent. #Sports #Cricket #Football #SportsUpdates #CricketNews #Olympics #News #IndiaCricket #MatchPrediction,2024-09-04T12:36:14.647Z,https://bsky.app/profile/icecricnewsupdates.bsky.social/post/3l3ddprqyna2d,0.8625,Positive
warriorrabbit.bsky.social,"Pioneer ref retires, will train others

⚽️ 2016 FA Women’s League Cup Final
⚽️ 2017 & 2020 Women’s FA Cup Final
⚽️ 2022 UEFA Women’s EURO
⚽️ 2022 FIFA Women’s U17 World Cup
⚽️ 2023 FIFA Women’s World Cup
⚽️ 2024 UEFA Women’s Champions League Final
⚽️ 2024 Paris Olympics

www.theguardian.com/football/art...",2024-08-29T19:33:39.933Z,https://bsky.app/profile/warriorrabbit.bsky.social/post/3l2uyanxc4v2l,0.5267,Positive
eqf18.bsky.social,"Title: Victory Before Us

Click ""alt"" for details.

Maybe criticism/suggestions about my art because I used too many Layers when drawing, so the Line Art loading process was messy 😓

#digitalart #HariKemerdekaanRI #RI79 #IndonesiaIndependenceDay",2024-08-29T14:58:38.797Z,https://bsky.app/profile/eqf18.bsky.social/post/3l2uiuv5omh2l,-0.3612,Negative
dopinglist.bsky.social,"Revealed: Doping ban forced Matildas star out of Olympics
'I didn't feel like a drug cheat'
https://www.nine.com.au/sport/football/matildas-news-2024-aivi-luik-doping-ban-error-forced-australian-out-of-paris-olympics-20240829-p5k6eo.html
#doping #cleansport #antidoping",2024-08-29T14:26:30.000Z,https://bsky.app/profile/dopinglist.bsky.social/post/3l2uh3gmpgn2l,-0.8936,Negative
numble.bsky.social,"August 2024 Caltrans presentation on 2028 Olympics Games Route Network, converting lanes to dedicated Olympic/Paralympic lanes. May be used by transit if time/space allows. Not all venues decided yet (e.g. baseball and football) so network may grow.
scag.ca.gov/sites/main/f...",2024-08-27T23:00:45.778Z,https://bsky.app/profile/numble.bsky.social/post/3l2qcv57gnd2v,0.4588,Positive
nkalamb.bsky.social,This is a perfect distillation of why it was outrageous Israel was allowed to participate in the Olympics: they were literally murdering Palestinian athletes. It’s only a logical extension that they would arrest the president of the Palestinian Football Association on return.,2024-08-13T23:35:00.832Z,https://bsky.app/profile/nkalamb.bsky.social/post/3kzn6bin2kz2s,-0.7184,Negative
lovenhl.bsky.social,"The Drive with Tim Donnelly LIVE – 08/12/24 | Carolina Panthers training camp | Paris Olympics

https://www.lovenhl.com/1224085/

The Drive with Tim Donnelly LIVE in Raleigh, NC on 99.9 The Fan from 3pm to 6pm 300 – Carolina Panthers offense is behind 315 – College Football AP Top 25 330 – 2024 …",2024-08-13T14:00:11.000Z,https://bsky.app/profile/lovenhl.bsky.social/post/3kzm65pektm2q,0.2732,Positive
icecricnews.bsky.social,"The 2025 ACC Premier Cup promises thrilling cricket action as top Asian teams compete for the prestigious title. For more - www.icecric.news/2024-acc-pre...
.
.
.
#Sports #Cricket #Football #SportsUpdates #CricketNews #Olympics #News #IndiaCricket #BCCI #Dream11 #Dream11Prediction #MatchPrediction",2024-08-13T08:26:56.903Z,https://bsky.app/profile/icecricnews.bsky.social/post/3kzlljrbs7o2i,0.7579,Positive
