author,content,created_at,postLink,Sentiment_Score,Sentiment_Label
buffa-channel.bsky.social,"一二三慎太と阿部一二三が結婚したらwwwww
buffa-channel.com/archives/199...

#阪神 #タイガース #柔道 #Judo #五輪 #Olympics #パリ2024 #オリンピック #結婚",2024-08-12T04:01:01.471Z,https://bsky.app/profile/buffa-channel.bsky.social/post/3kzim7ckojc2c,0.0,Neutral
dopinglist.bsky.social,"Paris Olympics 2024: Afghan judoka denies doping after failing test
https://sportstar.thehindu.com/olympics/paris-2024/news/paris-olympics-2024-judo-afghanistan-jukoda-denies-doping-after-failing-ita-test/article68484234.ece#doping #cleansport #antidoping",2024-08-04T18:34:26.000Z,https://bsky.app/profile/dopinglist.bsky.social/post/3kyvzbqgrvq23,-0.7269,Negative
buffa-channel.bsky.social,"“ズルーレット”疑惑に仏柔道連盟会長が反論「不正がないようにIOCが管理している」【パリ五輪】
buffa-channel.com/archives/196...

#ズルーレット #ルーレット #柔道 #Judo #五輪 #Olympics #パリ2024 #オリンピック #リネール #TeddyRiner",2024-08-04T04:01:15.525Z,https://bsky.app/profile/buffa-channel.bsky.social/post/3kyuiifjpey2o,0.0,Neutral
nowbreezing.ntw.app,"
Bluesky's Top 10 Trending Words from the Past 10 Minutes:
1st - gaza
2nd - cable
3rd - register
4th - shapiro
5th - rape
6th - pole
7th - mariah
8th - affair
9th - toni
10th - souls
(tap/click to see all posts on Bluesky featuring that word!)

#FreePalestine 🇵🇸",2024-08-03T21:40:16.181Z,https://bsky.app/profile/nowbreezing.ntw.app/post/3kytt72u23z2t,-0.636,Negative
nowbreezing.ntw.app,"
Bluesky's Top 10 Trending Words from the Past 10 Minutes:
️⚠️💨1 - sha'carri
2nd - 柔道
3rd - medal
4th - khelif
5th - bronze
6th - 団体
7th - フェンシング
8th - richardson
9th - 2024-08-03
10th - 100m
(tap/click to see all posts on Bluesky featuring that word!)

#йобанарусня 🇺🇦",2024-08-03T18:10:33.239Z,https://bsky.app/profile/nowbreezing.ntw.app/post/3kythi4avoi2o,0.636,Positive
nowbreezing.ntw.app,"
Bluesky's Top 10 Trending Words from the Past 10 Minutes:
️⚠️💨2 - biles
️⚠️💨1 - simone
️⚠️💨1 - pommel
️⚠️💨1 - 柔道
️⚠️💨1 - 高山
6th - vault
7th - medal
8th - gymnastics
9th - 03
10th - aug
(tap/click to see all posts on Bluesky featuring that word!)

#FreePalestine 🇵🇸",2024-08-03T16:10:35.414Z,https://bsky.app/profile/nowbreezing.ntw.app/post/3kytarlwgck2q,0.636,Positive
nowbreezing.ntw.app,"
Bluesky's Top 10 Trending Words from the Past 10 Minutes:
️⚠️💨2 - rebeca
️⚠️💨2 - biles
️⚠️💨1 - simone
️⚠️💨1 - harp
️⚠️💨1 - remco
️⚠️💨1 - bronze
️⚠️💨1 - なでしこ
️⚠️💨1 - medal
️⚠️💨1 - judo
️⚠️💨1 - サッカー
(tap/click to see all posts on Bluesky featuring that word!)

#ListenToBlackVoices",2024-08-03T15:40:35.572Z,https://bsky.app/profile/nowbreezing.ntw.app/post/3kyt73xfqjy2c,0.636,Positive
nowbreezing.ntw.app,"
Bluesky's Top 10 Trending Words from the Past 10 Minutes:
️⚠️💨2 - bronze
️⚠️💨2 - rafaela
️⚠️💨2 - judô
️⚠️💨2 - rafa
️⚠️💨1 - silva
️⚠️💨1 - medalha
️⚠️💨1 - porra
️⚠️💨1 - 柔道
️⚠️💨1 - harp
️⚠️💨1 - 団体
(tap/click to see all posts on Bluesky featuring that word!)

#ListenToBlackVoices",2024-08-03T14:50:35.446Z,https://bsky.app/profile/nowbreezing.ntw.app/post/3kyt4ckb2zx2a,0.2714,Positive
nowbreezing.ntw.app,"
Bluesky's Top 10 Trending Words from the Past 10 Minutes:
️⚠️💨1 - foul
️⚠️💨1 - uswnt
3rd - ワウト
4th - fgo
5th - biles
6th - ヘッド
7th - インサイド
8th - ukraine
9th - simone
10th - pixiv
(tap/click to see all posts on Bluesky featuring that word!)

#йобанарусня 🇺🇦",2024-08-03T14:40:37.909Z,https://bsky.app/profile/nowbreezing.ntw.app/post/3kyt3qqgjab2g,0.2714,Positive
nowbreezing.ntw.app,"
Bluesky's Top 10 Trending Words from the Past 10 Minutes:
️⚠️💨1 - 花火
️⚠️💨1 - rafa
3rd - rafaela
4th - walz
5th - 淀川
6th - watches
7th - vault
8th - simone
9th - praktisch
10th - fgo
(tap/click to see all posts on Bluesky featuring that word!)

#ListenToBlackVoices",2024-08-03T14:30:34.329Z,https://bsky.app/profile/nowbreezing.ntw.app/post/3kyt36qrwbr2h,0.2714,Positive
