author,content,created_at,postLink,Sentiment_Score,Sentiment_Label
maladroithe.bsky.social,You just have to tell them there are no electric kettles in the Olympic village,2024-08-13T00:27:03.938Z,https://bsky.app/profile/maladroithe.bsky.social/post/3kzkqpnlrnu2w,-0.296,Negative
llewcid.bsky.social,Would watch the fuck out of a show where they pitted these people against an Olympian,2024-08-12T13:57:30.994Z,https://bsky.app/profile/llewcid.bsky.social/post/3kzjnjwet5p2a,-0.5423,Negative
afp-bot.bsky.social,,2024-07-31T02:36:33.227Z,https://bsky.app/profile/afp-bot.bsky.social/post/3kykbv7x5bk2z,0.0,Neutral
afp-bot.bsky.social,"Olympics Topshots - 1.

@AFP photographers capture the action on Day 4 of the 2024 Paris #Olympics :

-  Catching the ball during Rugby Sevens at the Stade de France
-  Taking a punch during a boxing match at the North Paris Arena
-  Fencing gold at the Grand Palais
- Cycling BMX Freest... Read more",2024-07-31T02:36:16.393Z,https://bsky.app/profile/afp-bot.bsky.social/post/3kykbuy452c2w,0.4588,Positive
news-feed.bsky.social,"@AFP: Olympics Topshots - 1.

@AFP photographers capture the action on Day 4 of the 2024 Paris #Olympics :

-  Catching the ball during Rugby Sevens at the Stade de France
-  Taking a punch during a boxing match at the North Paris Arena
-  Fencing gold at the Grand Palais
- Cycling BMX Freestyle Par",2024-07-31T02:25:33.578Z,https://bsky.app/profile/news-feed.bsky.social/post/3kykbbkv26s2y,0.5719,Positive
globalvoters.bsky.social,'Unbelievable finish' - Team GB lose to China in final seconds: Great Britain suffer a 19-15 defeat to China in the semi-finals of the fifth-place play-offs in the women's rugby sevens at the Paris 2024 Olympics.,2024-07-30T19:30:12.000Z,https://bsky.app/profile/globalvoters.bsky.social/post/3kyjk2uw4xt2o,-0.5106,Negative
joelwwood.bsky.social,"Canada has now medalled in womens rugby sevens in two out of the three times it has been included in the Olympics

🥉 Bronze in Rio in 2016

🥈 Silver in Paris in 2024",2024-07-30T18:48:50.480Z,https://bsky.app/profile/joelwwood.bsky.social/post/3kyjhqvc4hz23,0.0,Neutral
acjsissons.bsky.social,We need to talk about how many swimming medals there are at the Olympics and how to reduce it…,2024-07-29T20:51:08.330Z,https://bsky.app/profile/acjsissons.bsky.social/post/3kyh64nr3hz2d,0.0,Neutral
paige.masto.canadiancivil.com.ap.brid.gy,"The #sevens #rugby game between #france and #canada this afternoon is my recommended watch for this Olympics.
4pm Eastern
https://olympics.com/en/paris-2024/results/rugby-sevens/women/qfnl000300",2024-07-29T15:21:37.000Z,https://bsky.app/profile/paige.masto.canadiancivil.com.ap.brid.gy/post/3kyglrpnlhfz2,0.2023,Positive
news-feed.bsky.social,"@guardiannews: Paris 2024 Olympics day three: Tom Daley in diving action; mountain biking, rugby sevens and more – live https://t.co/8cZLmk44ab",2024-07-29T09:07:24.606Z,https://bsky.app/profile/news-feed.bsky.social/post/3kyfwsbzqb72f,0.0772,Positive
