author,content,created_at,postLink,Sentiment_Score,Sentiment_Label
maladroithe.bsky.social,You just have to tell them there are no electric kettles in the Olympic village,2024-08-13T00:27:03.938Z,https://bsky.app/profile/maladroithe.bsky.social/post/3kzkqpnlrnu2w,-0.296,Negative
llewcid.bsky.social,Would watch the fuck out of a show where they pitted these people against an Olympian,2024-08-12T13:57:30.994Z,https://bsky.app/profile/llewcid.bsky.social/post/3kzjnjwet5p2a,-0.5423,Negative
aboz.bsky.social,"Australia shined brightly at the 2024 Paris Olympics, making history with an impressive medal haul of 43, including 18 golds! Our athletes dominated in swimming, track and field, cycling, rowing, and sailing, proving their dedication and skill on the global stage.",2024-08-11T15:03:46.828Z,https://bsky.app/profile/aboz.bsky.social/post/3kzharjhest2h,0.8478,Positive
byteseu.bsky.social,"Paris Olympics 2024 * 08/08/2024 * Where the air is so calm that entire regattas are moved

https://www.byteseu.com/320693/

Medal events 07:30 – Open Water Swimming: Women’s 10km Final 11:43 – Sailing: 470 mixed final 12:18 – Sailing: Nacra 17 mixed final 12:35 – Sport climbing: men’s speed …",2024-08-08T06:13:14.000Z,https://bsky.app/profile/byteseu.bsky.social/post/3kz6rq45r5n2q,0.7262,Positive
news-feed.bsky.social,"@SkyNews: 2x Olympic gold medalist sailor 🏅🏅 @SarahAytonOBE is on the Breakfast show this morning talking about sailing at the Paris 2024 Olympics

🕐 9:45am
👉 #Breakfast
📺 Sky 501 / YouTube
📱 Watch live: https://t.co/jCgTS4CoDX",2024-08-07T08:32:48.145Z,https://bsky.app/profile/news-feed.bsky.social/post/3kz4j2ovs4k2l,0.0,Neutral
byteseu.bsky.social,"Paris Olympics 2024 * 07/08/2024 * Furlani skips, streak is saved

https://www.byteseu.com/317949/

Medal events 07:30 – Athletics: mixed walking relay final 12:54 – Sport climbing: women’s speed final 2.43pm – Sailing: Nacra 17 final regatta 15:00 – Weightlifting: Men’s 61kg final 15:43 – …",2024-08-07T05:13:07.000Z,https://bsky.app/profile/byteseu.bsky.social/post/3kz45vovx7s2w,0.7096,Positive
byteseu.bsky.social,"Paris Olympics 2024 * 06/08/2024 * Where Italian volleyball is the tragic second act of Japanese history

https://www.byteseu.com/315431/

And after the timeskip they will take their revenge in Los Angeles 2028. Medal events 10:00 – Horse riding: individual show jumping 2.43pm – Sailing: ILCA 6 …",2024-08-06T06:39:09.000Z,https://bsky.app/profile/byteseu.bsky.social/post/3kyzsamvmis2u,-0.5106,Negative
starsandstripes.bsky.social,"Marseille, host of the 2024 Olympics sailing competition, is a city of contrasts. It’s a millennia-old port, crossroads of cultures and faiths, where the sea is ever present but not equally accessible, and the beauty and cosmopolitan flair rub shoulders with enclaves of poverty and exclusion.",2024-08-05T18:47:21.789Z,https://bsky.app/profile/starsandstripes.bsky.social/post/3kyykhrfc6r2e,-0.0387,Neutral
sketchynews.net,"[Associated Press]Spain, Netherlands win first Paris Olympics sailing gold medals; US gets 1st sailing medal since Rio - The Associated Press Spain and the Netherlands have won the first gold medals in the men’s and women’s skiffs on what sailors called the first “normal wind” day of the 2024...",2024-08-04T04:45:37.397Z,https://bsky.app/profile/sketchynews.net/post/3kyukxp7eec2o,0.891,Positive
globalvoters.bsky.social,GB's Wilson wins windsurfing bronze: Emma Wilson wins Great Britain's first sailing medal at the Paris 2024 Olympics with bronze in the women's IQFoil event.,2024-08-03T13:48:05.000Z,https://bsky.app/profile/globalvoters.bsky.social/post/3kysyssc7sc2y,0.9393,Positive
tomo.blue,Today's Google logo in Japan celebrates sailing at the Paris 2024 Summer Olympic Games. It's the same logo as yesterday. #googledoodle #sailing #paris2024 #parisolympics #olympics #olympicgames,2024-08-03T09:07:20.509Z,https://bsky.app/profile/tomo.blue/post/3kysj4r4rj526,0.5719,Positive
tomo.blue,日本でのGoogleのロゴ、本日はパリ2024夏季オリンピック・セーリングver.です。昨日と同様のロゴ。 #googledoodle #sailing #paris2024 #parisolympics #olympics #olympicgames,2024-08-03T09:06:46.613Z,https://bsky.app/profile/tomo.blue/post/3kysj3qotnl2w,0.0,Neutral
cyclingeu.bsky.social,"Jubilation For Spain In Marseille! 🇪🇸🥇| Sailing Men’s 49er Skiff #Paris2024

https://www.cyclingeu.com/341098/jubilation-for-spain-in-marseille-%F0%9F%87%AA%F0%9F%87%B8%F0%9F%A5%87-sailing-mens-49er-skiff-paris2024/

Stream every moment of the Paris 2024 Olympics 🇫🇷 only on Max 📺 News and …",2024-08-02T12:33:03.000Z,https://bsky.app/profile/cyclingeu.bsky.social/post/3kyqe5s5ko225,0.0,Neutral
tomo.blue,Today's Google logo in Japan celebrates sailing at the Paris 2024 Summer Olympic Games. #googledoodle #sailing #paris2024 #parisolympics #olympics #olympicgames,2024-08-02T09:29:04.711Z,https://bsky.app/profile/tomo.blue/post/3kypzupiswe22,0.5719,Positive
tomo.blue,日本でのGoogleのロゴ、本日はパリ2024夏季オリンピック・セーリングver.です。 #googledoodle #sailing #paris2024 #parisolympics #olympics #olympicgames,2024-08-02T09:28:34.312Z,https://bsky.app/profile/tomo.blue/post/3kypztrjbtj2t,0.0,Neutral
globalvoters.bsky.social,"Officials abandon men's sailing medal race due to lack of wind: 'Never seen anything like it': A lack of wind caused the men’s skiff final race to be abandoned on Thursday at the 2024 Paris Olympics. 

Officials decided there was not a sufficient amount of wind to complete the race, which had…",2024-08-01T15:13:18.000Z,https://bsky.app/profile/globalvoters.bsky.social/post/3kyo4netq4k2l,-0.8181,Negative
theglobeandmail.com,The answer to Team Canada’s sailing strategy lies in the clouds: Meteorology can give sailors a competitive edge. The Globe explains how Team Canada will use the science to navigate shifting winds in Marseille during the 2024 Summer Olympics,2024-07-30T16:01:36.000Z,https://bsky.app/profile/theglobeandmail.com/post/3kyj6fu3aui2e,-0.2732,Negative
acjsissons.bsky.social,We need to talk about how many swimming medals there are at the Olympics and how to reduce it…,2024-07-29T20:51:08.330Z,https://bsky.app/profile/acjsissons.bsky.social/post/3kyh64nr3hz2d,0.0,Neutral
infoshaman.bsky.social,"""The [2024 Paris Olympics opening] ceremony featured the parade of nations, with athletes riding in on boats on the Seine, France’s famed river.""

I look forward in 2028 to athletes sailing along the Los Angeles River to the soundtrack of 'Chinatown'.",2024-07-27T23:39:14.609Z,https://bsky.app/profile/infoshaman.bsky.social/post/3kycglfiiht2x,0.0,Neutral
kenby.bsky.social,"I work with a company in the Cayman Islands & the niece of the managing director is sailing in the Paris 2024 Olympics. I saw a bit of the opening ceremony. If you see one Olympics ceremony, you've pretty much seen them all. Yesterday, the kitsch was tremendous & the ceremony was more of the Seine.",2024-07-27T12:47:12.040Z,https://bsky.app/profile/kenby.bsky.social/post/3kybc5hlhqp2e,0.4939,Positive
globalvoters.bsky.social,"Opening ceremony lights up Paris in unique style: The 2024 Olympics opened in Paris in spectacular style with thousands of athletes sailing along the River Seine past lively performers on bridges, banks and rooftops in an ambitious take on an opening ceremony.",2024-07-27T10:03:07.000Z,https://bsky.app/profile/globalvoters.bsky.social/post/3kyayy3jtku2q,0.7184,Positive
byteseu.bsky.social,"The Ukrainian athletes appeared sailing down the river Seine for the opening of the Paris 2024 Olympics – ‘Ukrainii!!’ was shouted 🇺🇦 💙💛

https://www.byteseu.com/289986/

The Ukrainian athletes appeared sailing down the river Seine for the opening of the Paris 2024 Olympics – ‘Ukrainii!!’ was …",2024-07-26T23:52:07.000Z,https://bsky.app/profile/byteseu.bsky.social/post/3ky7wtluzwm2i,0.0,Neutral
globalvoters.bsky.social,"Olympics opening ceremony wows rain-soaked Paris crowds: The 2024 Olympics opened in Paris in spectacular style with thousands of athletes sailing along the River Seine past lively performers on bridges, banks and rooftops in an ambitious take on an opening ceremony.",2024-07-26T21:57:23.000Z,https://bsky.app/profile/globalvoters.bsky.social/post/3ky7qgekbso2l,0.8402,Positive
richardferro.bsky.social,Lots going on in the world but nothing feels better than seeing the flags of my family’s home countries sailing into the Olympics,2024-07-26T18:46:39.693Z,https://bsky.app/profile/richardferro.bsky.social/post/3ky7frcoev22f,-0.4782,Negative
istecnico.bsky.social,"Carolina João and João Fernando, alumni of Instituto Superior Técnico, will represent Portugal at the Paris 2024 Olympics in Sailing and Judo.

Wishing them the best in their events! 🥋⛵

🔗 Full article: tinyurl.com/pedda43t

#Paris2024 #TécnicoAlumni #TécnicoLisboa #ULisboa",2024-07-26T18:27:29.410Z,https://bsky.app/profile/istecnico.bsky.social/post/3ky7eoyvqlo26,0.8718,Positive
dbeecher.bsky.social,"Take that, badminton and field hockey",2024-07-25T19:59:40.127Z,https://bsky.app/profile/dbeecher.bsky.social/post/3ky4zex3qdk2g,0.0,Neutral
