author,content,created_at,postLink,Sentiment_Score,Sentiment_Label
violetblue.bsky.social,"I saved the best for last. 

We have one more week of propaganda and heated bird battles. I'll update this thread when I see new art!
Find out more and support this epic conservation effort at Bird of the Year 2024: www.birdoftheyear.org.nz",2024-09-07T09:16:37.427Z,https://bsky.app/profile/violetblue.bsky.social/post/3l3kjxlyzrg2i,0.7511,Positive
bakuzen.bsky.social,Koana at the Turali Olympics 2024,2024-08-31T04:08:33.892Z,https://bsky.app/profile/bakuzen.bsky.social/post/3l2yfibiy6g2g,0.0,Neutral
citizenwald.bsky.social,"Gonna let you guys sort this one out 
¯\_(ツ)_/¯",2024-08-30T22:49:46.000Z,https://bsky.app/profile/citizenwald.bsky.social/post/3l2xtobbovl2h,0.0,Neutral
citizenwald.bsky.social,,2024-08-29T21:00:04.000Z,https://bsky.app/profile/citizenwald.bsky.social/post/3l2v5364zwz2k,0.0,Neutral
citizenwald.bsky.social,,2024-08-28T21:00:02.000Z,https://bsky.app/profile/citizenwald.bsky.social/post/3l2smm7kakf2n,0.0,Neutral
citizenwald.bsky.social,,2024-08-27T22:19:42.000Z,https://bsky.app/profile/citizenwald.bsky.social/post/3l2qalqk4dc2q,0.0,Neutral
citizenwald.bsky.social,,2024-08-26T21:00:06.000Z,https://bsky.app/profile/citizenwald.bsky.social/post/3l2nlohzv5v2w,0.0,Neutral
citizenwald.bsky.social,,2024-08-25T21:00:05.000Z,https://bsky.app/profile/citizenwald.bsky.social/post/3l2l37joa772p,0.0,Neutral
citizenwald.bsky.social,,2024-08-24T21:36:48.000Z,https://bsky.app/profile/citizenwald.bsky.social/post/3l2imsb66s724,0.0,Neutral
citizenwald.bsky.social,,2024-08-23T21:31:23.000Z,https://bsky.app/profile/citizenwald.bsky.social/post/3l2g3znu4s723,0.0,Neutral
citizenwald.bsky.social,,2024-08-22T21:07:41.000Z,https://bsky.app/profile/citizenwald.bsky.social/post/3l2dkae7ci626,0.0,Neutral
citizenwald.bsky.social,,2024-08-21T23:51:47.000Z,https://bsky.app/profile/citizenwald.bsky.social/post/3l2bcwuezqj2g,0.0,Neutral
citizenwald.bsky.social,,2024-08-20T21:21:58.000Z,https://bsky.app/profile/citizenwald.bsky.social/post/3l26k42zdub2a,0.0,Neutral
citizenwald.bsky.social,,2024-08-19T22:18:04.000Z,https://bsky.app/profile/citizenwald.bsky.social/post/3l244rhhtwl2g,0.0,Neutral
citizenwald.bsky.social,,2024-08-18T20:40:01.000Z,https://bsky.app/profile/citizenwald.bsky.social/post/3kzzgt6w62c2q,0.0,Neutral
humblecore.bsky.social,Remember a week ago when Steph did this to those Frenchmen? A sick individual and truly the best America has to offer 🇺🇸,2024-08-17T21:21:23.374Z,https://bsky.app/profile/humblecore.bsky.social/post/3kzwyoai5a62x,0.5859,Positive
citizenwald.bsky.social,,2024-08-17T21:10:40.000Z,https://bsky.app/profile/citizenwald.bsky.social/post/3kzwy33olzv24,0.0,Neutral
wordsalso.bsky.social,,2024-08-17T16:35:53.417Z,https://bsky.app/profile/wordsalso.bsky.social/post/3kzwippxxxy2r,0.0,Neutral
citizenwald.bsky.social,,2024-08-16T22:14:45.000Z,https://bsky.app/profile/citizenwald.bsky.social/post/3kzul6reg532d,0.0,Neutral
citizenwald.bsky.social,,2024-08-15T22:43:10.000Z,https://bsky.app/profile/citizenwald.bsky.social/post/3kzs4cnzchv2h,0.0,Neutral
amberunmasked.bsky.social,"Yes, I love #YusufDikec too BUT no one is making his equal partner in the mixed doubles go viral with memes. #SavvalTarhan had large ear defenders (he wore small ear plugs), visor, as well as braids in the red and white colors of the Turkish flag AND shooting with one hand in her pocket, too!",2024-08-15T13:17:16.000Z,https://bsky.app/profile/amberunmasked.bsky.social/post/3kzr4oqpkis2a,0.8534,Positive
maladroithe.bsky.social,You just have to tell them there are no electric kettles in the Olympic village,2024-08-13T00:27:03.938Z,https://bsky.app/profile/maladroithe.bsky.social/post/3kzkqpnlrnu2w,-0.296,Negative
llewcid.bsky.social,Would watch the fuck out of a show where they pitted these people against an Olympian,2024-08-12T13:57:30.994Z,https://bsky.app/profile/llewcid.bsky.social/post/3kzjnjwet5p2a,-0.5423,Negative
c-hoell.bsky.social,"The updated Tier list reads:
S-tier: NED ✨.
A-tier: BEL, CHN, ARG, GER, AUS.
B-tier: GBR, ESP.
The second shooting star is CHN, which also saw progress from game to game. 🎇
#HockeyPredictor #wolyhock #FieldHockey #DataAnalysis #Olympics",2024-08-09T20:31:26.332Z,https://bsky.app/profile/c-hoell.bsky.social/post/3kzcs5klej22t,0.4215,Positive
juniorhoncho.bsky.social,,2024-08-08T22:54:22.949Z,https://bsky.app/profile/juniorhoncho.bsky.social/post/3kzajoai3ls2x,0.0,Neutral
ashleysays.bsky.social,Okay pentathlon is wild. They should be the MVPs of the Olympics,2024-08-08T12:05:20.707Z,https://bsky.app/profile/ashleysays.bsky.social/post/3kz7ffoad4y2e,0.2263,Positive
spootymaniacs.gay,Fang the Hunter (representing Mobius) has won Gold Medal in Shooting for the 2024 Paris Olympics,2024-08-06T21:10:16.253Z,https://bsky.app/profile/spootymaniacs.gay/post/3kz3cwardnc2x,0.7783,Positive
