author,content,created_at,postLink,Sentiment_Score,Sentiment_Label
news-feed.bsky.social,"@XHNews: Emerging Olympic sports like breaking, skateboarding, sport climbing, and surfing at the 2024 Paris Olympics have captivated young Chinese, attracting a growing number of followers by pushing physical limits and exploring personal abilities. https://t.co/kdMS7XGLto",2024-08-13T03:21:54.185Z,https://bsky.app/profile/news-feed.bsky.social/post/3kzl2ic4hhm2s,0.8807,Positive
maladroithe.bsky.social,You just have to tell them there are no electric kettles in the Olympic village,2024-08-13T00:27:03.938Z,https://bsky.app/profile/maladroithe.bsky.social/post/3kzkqpnlrnu2w,-0.296,Negative
llewcid.bsky.social,Would watch the fuck out of a show where they pitted these people against an Olympian,2024-08-12T13:57:30.994Z,https://bsky.app/profile/llewcid.bsky.social/post/3kzjnjwet5p2a,-0.5423,Negative
news-feed.bsky.social,"@Forbes: Breaking, better known as break dancing, is making its Olympics debut at 2024 Summer Games, joining surfing, skateboarding and sport climbing as the newest Olympic sports. Here's what you need to know: https://t.co/gBxmyEruNr https://t.co/CC7kFQ2BRy",2024-08-09T18:54:47.081Z,https://bsky.app/profile/news-feed.bsky.social/post/3kzcmqpx3fx2o,0.4404,Positive
earthnewstrending.bsky.social,Paris 2024 Olympics: Australia’s Keegan Palmer repeats as Olympic park skateboarding champion at Summer Games Palmer’s victory gave Australia... #news #olympics #skate #skateboarding earthnewstrending.blogspot.com/2024/08/pari...,2024-08-08T20:57:22.943Z,https://bsky.app/profile/earthnewstrending.bsky.social/post/3kzad4zoptc2n,0.5994,Positive
australia.theguardian.com,"Paris 2024 Olympics day 12: track cycling records fall, skateboarding, golf and athletics – live",2024-08-07T13:34:09.450Z,https://bsky.app/profile/australia.theguardian.com/post/3kz4zvklaoc2k,0.0,Neutral
maviscruet.bsky.social,"I really thought this was a headline writing error. But no, our skateboarder is 51. He must be the oldest athlete at the games?",2024-08-07T13:06:54.455Z,https://bsky.app/profile/maviscruet.bsky.social/post/3kz4yetv53c2r,-0.5647,Negative
globalvoters.bsky.social,Team GB's Brown wins skateboard bronze - highlights: Watch highlights as Team GB's Sky Brown wins skateboarding bronze in the women's park final at the Paris 2024 Olympics.,2024-08-07T10:13:05.000Z,https://bsky.app/profile/globalvoters.bsky.social/post/3kz4onzu2rs2q,0.8126,Positive
globalvoters.bsky.social,Team GB's Brown wins skateboard bronze - highlights: Watch highlights as Team GB's Sky Brown wins skateboarding bronze in the women's park final at the Paris 2024 Olympics.,2024-08-06T17:39:06.000Z,https://bsky.app/profile/globalvoters.bsky.social/post/3kz2x4nin522d,0.8126,Positive
bbcnews-uk-rss.bsky.social,Paris 2024 Olympics video: Sky Brown wins skateboarding bronze for Team GB,2024-08-06T17:37:45.938Z,https://bsky.app/profile/bbcnews-uk-rss.bsky.social/post/3kz2x2amw7224,0.5719,Positive
redjolt.bsky.social,Not to nitpick but I think it’s called bronze in the Olympics,2024-08-06T13:07:19.055Z,https://bsky.app/profile/redjolt.bsky.social/post/3kz2hwnfnfb2e,0.0,Neutral
mikemurph.bsky.social,Clever horse,2024-08-06T10:27:57.163Z,https://bsky.app/profile/mikemurph.bsky.social/post/3kz26zof3ec22,0.4588,Positive
globalvoters.bsky.social,Skateboarding at the Paris 2024 Olympics: Everything you need to know about Olympic skateboarding at Paris 2024.,2024-08-06T01:36:35.000Z,https://bsky.app/profile/globalvoters.bsky.social/post/3kyzbdjft322c,0.0,Neutral
frenetictyping.bsky.social,"Super excited for the Olympics Skateboarding Women’s Park event tomorrow. Arisa Trew looks to be the favourite. But I wanna talk about Yosozumi Sakura, who seeks to defend her gold medal. However, on June 23, at the last Olympic qualifier event, Sakura was in danger of not even making it to Paris 🧵",2024-08-05T17:25:50.276Z,https://bsky.app/profile/frenetictyping.bsky.social/post/3kyyfw2uw7c2c,0.4019,Positive
