author,content,created_at,postLink,Sentiment_Score,Sentiment_Label
draglikepull.bsky.social,"Starting with the 2020 Olympics (where she won gold) up to the 2024 Olympics (where she won gold), Janja has competed in 26 International Federation of Sport Climbing events, winning 22 and finishing 2nd in the remaining 4. That's just insane consistency. www.ifsc-climbing.org/athlete/1147...",2024-09-06T18:21:00.447Z,https://bsky.app/profile/draglikepull.bsky.social/post/3l3ixw4lrgh23,0.8442,Positive
news-feed.bsky.social,"@XHNews: Emerging Olympic sports like breaking, skateboarding, sport climbing, and surfing at the 2024 Paris Olympics have captivated young Chinese, attracting a growing number of followers by pushing physical limits and exploring personal abilities. https://t.co/kdMS7XGLto",2024-08-13T03:21:54.185Z,https://bsky.app/profile/news-feed.bsky.social/post/3kzl2ic4hhm2s,0.8807,Positive
byteseu.bsky.social,"Paris Olympics 2024 * 10/08/2024 * Where floors are cleaned with Breaking

https://www.byteseu.com/326127/

The only true Olympic anthem Medal events 08:00 – Athletics: Men’s Marathon 09:00 – Golf: Women’s Individual Final 11:30 – Weightlifting: Men’s 102kg final 12:35 – Sport climbing: women’s …",2024-08-10T05:39:12.000Z,https://bsky.app/profile/byteseu.bsky.social/post/3kzdqr3ywfy2j,0.7096,Positive
BBCtopstories.mastodonapp.uk.ap.brid.gy,"'Incredible!' Roberts wins shock climbing gold medal for Team GB
https://www.bbc.com/sport/olympics/videos/czx6v076k60o

At: 2024-08-09T11:41:11.000Z",2024-08-10T03:13:10.000Z,https://bsky.app/profile/BBCtopstories.mastodonapp.uk.ap.brid.gy/post/3kzdilxvudvy2,0.6696,Positive
news-feed.bsky.social,"@Forbes: Breaking, better known as break dancing, is making its Olympics debut at 2024 Summer Games, joining surfing, skateboarding and sport climbing as the newest Olympic sports. Here's what you need to know: https://t.co/gBxmyEruNr https://t.co/CC7kFQ2BRy",2024-08-09T18:54:47.081Z,https://bsky.app/profile/news-feed.bsky.social/post/3kzcmqpx3fx2o,0.4404,Positive
byteseu.bsky.social,"Paris Olympics 2024 * 09/08/2024 * Where first you sail and then you fly

https://www.byteseu.com/323415/

Medal events 07:30 – Open Water Swimming: Men’s 10km Final 12:35 – Sport climbing: men’s boulder&lead final 12:40 – Canoe Speed: Women’s C2 500 Final 13:00 – Canoe Speed: Women’s K2 500 …",2024-08-09T05:39:12.000Z,https://bsky.app/profile/byteseu.bsky.social/post/3kzbac6zwbs2t,0.4767,Positive
news-feed.bsky.social,"@AFP: Olympics Topshots - 2.

@AFP photographers capture the action on Day 13 of the 2024 Paris #Olympics 

- Women’s formula kite kiteboarding semifinals
- Rhythmic gymnastics' individual all-around qualification
- Women's sport climbing lead semi-final
- Noah Lyles gets medical attention after the",2024-08-09T03:47:29.828Z,https://bsky.app/profile/news-feed.bsky.social/post/3kzb22ejvjs2n,0.0,Neutral
byteseu.bsky.social,"Paris Olympics 2024 * 08/08/2024 * Where the air is so calm that entire regattas are moved

https://www.byteseu.com/320693/

Medal events 07:30 – Open Water Swimming: Women’s 10km Final 11:43 – Sailing: 470 mixed final 12:18 – Sailing: Nacra 17 mixed final 12:35 – Sport climbing: men’s speed …",2024-08-08T06:13:14.000Z,https://bsky.app/profile/byteseu.bsky.social/post/3kz6rq45r5n2q,0.7262,Positive
tomo.blue,Today's Google logo in Japan celebrates sport climbing at the Paris 2024 Summer Olympic Games. It's the same logo as yesterday. #googledoodle #sportclimbing #paris2024 #parisolympics #olympics #olympicgames,2024-08-08T05:11:36.314Z,https://bsky.app/profile/tomo.blue/post/3kz6obtm4xm2w,0.5719,Positive
news-feed.bsky.social,"@AFP: Olympics Topshots - 2.

@AFP photographers capture the action on Day 12 of the 2024 Paris #Olympics 

- Artistic swimming event
- Men's 5000m heat
- Men's sport climbing lead semi final
- Men's greco-roman 77kg wrestling bronze medal match https://t.co/zsZ4LXDVdN",2024-08-08T02:54:17.815Z,https://bsky.app/profile/news-feed.bsky.social/post/3kz6gmcwcls2l,0.4767,Positive
byteseu.bsky.social,"Paris Olympics 2024 * 07/08/2024 * Furlani skips, streak is saved

https://www.byteseu.com/317949/

Medal events 07:30 – Athletics: mixed walking relay final 12:54 – Sport climbing: women’s speed final 2.43pm – Sailing: Nacra 17 final regatta 15:00 – Weightlifting: Men’s 61kg final 15:43 – …",2024-08-07T05:13:07.000Z,https://bsky.app/profile/byteseu.bsky.social/post/3kz45vovx7s2w,0.7096,Positive
tomo.blue,Today's Google logo in Japan celebrates sport climbing at the Paris 2024 Summer Olympic Games. #googledoodle #sportclimbing #paris2024 #parisolympics #olympics #olympicgames,2024-08-07T04:34:22.010Z,https://bsky.app/profile/tomo.blue/post/3kz43qdco6c2d,0.5719,Positive
acjsissons.bsky.social,We need to talk about how many swimming medals there are at the Olympics and how to reduce it…,2024-07-29T20:51:08.330Z,https://bsky.app/profile/acjsissons.bsky.social/post/3kyh64nr3hz2d,0.0,Neutral
dbeecher.bsky.social,"Take that, badminton and field hockey",2024-07-25T19:59:40.127Z,https://bsky.app/profile/dbeecher.bsky.social/post/3ky4zex3qdk2g,0.0,Neutral
