author,content,created_at,postLink,Sentiment_Score,Sentiment_Label
news-feed.bsky.social,"@ChinaDaily: Sixty-five athletes and eight coaches from the national team, which achieved outstanding results at the 2024 Paris #Olympics, will be in Hong Kong from Aug 29 to 31, including champions in events such as diving, swimming and table tennis. (Photos: Adam Lam) #Paris2024 https://t.co/LcSZT",2024-08-29T08:19:08.312Z,https://bsky.app/profile/news-feed.bsky.social/post/3l2tskj72ya2s,0.8271,Positive
simon-taylor.net,"📽️ Movie Challenge 2024 - Week 33

Watch a movie with an Olympics connection.

This week I watched movies featuring synchronised swimming, golf, wrestling, diving and running:

Water Lilies (2007)
Lost in Translation (2003)
The Wrestler (2008)
DIVE (2022)
Chariots of Fire (1981)",2024-08-18T23:51:31.455Z,https://bsky.app/profile/simon-taylor.net/post/3kzzrjmqtdk2w,-0.4767,Negative
cr4shalan.bsky.social,This Lego build was inspired by the Artistic Swimming Events at the Paris 2024 Olympics. I often use window panels to depict a cross section view of water. As for the swimmers: Ne touchez pas le fond!,2024-08-16T23:17:27.470Z,https://bsky.app/profile/cr4shalan.bsky.social/post/3kzuoouhsen2h,0.75,Positive
hotspringsummer.bsky.social,"6. UNDER PARIS
[2024]
best part of this is the end-- not because it ends, but because IT KEEPS GOING; also fuck cops

#100HorrorMoviesIn92Days",2024-08-14T00:08:32.204Z,https://bsky.app/profile/hotspringsummer.bsky.social/post/3kzna5hr74a22,-0.4854,Negative
maladroithe.bsky.social,You just have to tell them there are no electric kettles in the Olympic village,2024-08-13T00:27:03.938Z,https://bsky.app/profile/maladroithe.bsky.social/post/3kzkqpnlrnu2w,-0.296,Negative
llewcid.bsky.social,Would watch the fuck out of a show where they pitted these people against an Olympian,2024-08-12T13:57:30.994Z,https://bsky.app/profile/llewcid.bsky.social/post/3kzjnjwet5p2a,-0.5423,Negative
dopinglist.bsky.social,"Opinion | Chinese swimming doping scandal taints Olympic medals won in Paris
https://www.washingtonpost.com/opinions/2024/08/12/olympics-china-swimming-doping-paris-2024/#doping #cleansport #antidoping",2024-08-12T11:13:20.000Z,https://bsky.app/profile/dopinglist.bsky.social/post/3kzjeeeqymi2t,0.2023,Positive
picardsteacup.bsky.social,"It was nice to hear Jimmy Fallon make some dumb ass joke about Katie swimming back to the US instead of flying and Katie going ""Sorry Jimmy I can't hear you it's very loud here ON THE STAGE FOR THE CLOSING CEREMONY OF THE 2024 OLYMPICS""",2024-08-11T19:28:48.763Z,https://bsky.app/profile/picardsteacup.bsky.social/post/3kzhplgasrd2c,-0.4767,Negative
aboz.bsky.social,"Australia shined brightly at the 2024 Paris Olympics, making history with an impressive medal haul of 43, including 18 golds! Our athletes dominated in swimming, track and field, cycling, rowing, and sailing, proving their dedication and skill on the global stage.",2024-08-11T15:03:46.828Z,https://bsky.app/profile/aboz.bsky.social/post/3kzharjhest2h,0.8478,Positive
kaa.bz,"Making The Cut. This year I watched the Olympics with my Canadian hat on (typically I’ll root for the Lebanese, the Greeks, the Brits and now the Canadians). I missed the swimming competitions which would have been awesome to watch. The Canadian w... https://www.kaa.bz/2024/08/09/making-the-cut.html",2024-08-10T03:13:19.000Z,https://bsky.app/profile/kaa.bz/post/3kzdimiqacs2j,0.2023,Positive
