author,content,created_at,postLink,Sentiment_Score,Sentiment_Label
ec.europa.eu,"🎾Roland Garros Stadium, 
🏑 Yves du Manoir hockey stadium, 
🏓South Paris Arena for table tennis or 
🇪🇺 Grand opening ceremony 
 
Did you spot the EU flag at any of these iconic locations during the #Paris2024 Olympics and Paralympics?",2024-09-08T07:44:37.485Z,https://bsky.app/profile/ec.europa.eu/post/3l3mvbxwiha2s,0.4588,Positive
news-feed.bsky.social,"@ChinaDaily: Sixty-five athletes and eight coaches from the national team, which achieved outstanding results at the 2024 Paris #Olympics, will be in Hong Kong from Aug 29 to 31, including champions in events such as diving, swimming and table tennis. (Photos: Adam Lam) #Paris2024 https://t.co/LcSZT",2024-08-29T08:19:08.312Z,https://bsky.app/profile/news-feed.bsky.social/post/3l2tskj72ya2s,0.8271,Positive
maladroithe.bsky.social,You just have to tell them there are no electric kettles in the Olympic village,2024-08-13T00:27:03.938Z,https://bsky.app/profile/maladroithe.bsky.social/post/3kzkqpnlrnu2w,-0.296,Negative
llewcid.bsky.social,Would watch the fuck out of a show where they pitted these people against an Olympian,2024-08-12T13:57:30.994Z,https://bsky.app/profile/llewcid.bsky.social/post/3kzjnjwet5p2a,-0.5423,Negative
waldograce.bsky.social,"U.S. table tennis team has a moment in the spotlight, helped along by an All-Star fan
#Olympics
#NPR
https://www.npr.org/2024/08/07/g-s1-15647/table-tennis-olympics-lily-zhang-anthony-edwards",2024-08-08T00:18:53.000Z,https://bsky.app/profile/waldograce.bsky.social/post/3kz65wgws2n2r,0.3182,Positive
blipsnewslinks.bsky.social,"BLIP'S 2024 OLYMPICS TIDBITS: AUGUST 7TH 2024

Several Runners Collide And Fall During Olympic Race... Olympic Table Tennis Competition Includes Sibling Pairs...  LA Watches And Prepares For 2028 Olympics
#Paris2024  #Olympics  #LA2028  

CHECK OUT blips.news FOR LINKS TO MORE OLYMPICS NEWS STORIES",2024-08-07T21:07:33.800Z,https://bsky.app/profile/blipsnewslinks.bsky.social/post/3kz5tadc3fc2c,-0.0772,Negative
news-feed.bsky.social,"@AFP: Olympics Topshots - 2.

@AFP photographers capture the action on Day 11 of the 2024 Paris #Olympics 

- Men's long jump final
- Women's freestyle 50kg wrestling quarter-final
- Men’s formula kiteboarding event
- Women's table tennis doubles https://t.co/qGlCkxoHH2",2024-08-07T02:21:35.984Z,https://bsky.app/profile/news-feed.bsky.social/post/3kz3ucwjgts2z,0.1779,Positive
wolfesghost.bsky.social,"""I remember '24 well, it was the year ol' Bumblecorn Cat's Nightmare took 3 gold and 1 silver. Incredible display of table tennis skills. Such a good boi.""

""Wait, you mean PRESIDENT Bumblecorn Cat's Nightmare was in the 2024 Olympics?!""",2024-08-06T16:03:18.628Z,https://bsky.app/profile/wolfesghost.bsky.social/post/3kz2rrdoyw22a,0.6476,Positive
protik.bsky.social,Står Fan Zhendong på hemsidan!,2024-08-05T19:01:06.945Z,https://bsky.app/profile/protik.bsky.social/post/3kyylafylfi2e,0.3802,Positive
byteseu.bsky.social,"Table tennis (M): Félix Lebrun crushes Hugo Calderano and wins bronze at the Paris 2024 Olympics

https://www.byteseu.com/311313/

Table tennis (M): Félix Lebrun crushes Hugo Calderano and wins bronze at the Paris 2024 Olympics …",2024-08-04T14:00:17.000Z,https://bsky.app/profile/byteseu.bsky.social/post/3kyvjxm3gli2v,0.3818,Positive
