author,content,created_at,postLink,Sentiment_Score,Sentiment_Label
byteseu.bsky.social,"S. Korean Athletes Come Back Home from Paris Olympics

https://www.byteseu.com/334382/

Photo : YONHAP News The last batch of South Korean athletes have come home after competing at the 2024 Paris Olympics.  Taekwondo gold medalist Park Tae-joon and weightlifting silver medalist Park …",2024-08-13T11:26:08.000Z,https://bsky.app/profile/byteseu.bsky.social/post/3kzlvk7x4js2z,0.0,Neutral
earthnewstrending.bsky.social,"Olympics 2024: Caden Cunningham wins taekwondo silver for Team GB Arian Salimi responds in emphatic manner to win gold * FIRST NAME
* LAST NAME
* EMAI...#news https://www.standard.co.uk/sport/sport-olympics/olympics-2024-cunningham-team-gb-b1175852.html",2024-08-11T23:53:13.927Z,https://bsky.app/profile/earthnewstrending.bsky.social/post/3kzi6eaa3ab2t,0.8176,Positive
nowbreezing.ntw.app,"
Bluesky's Top 10 Trending Words from the Past 10 Minutes:
️⚠️💨1 - lebron
️⚠️💨1 - hacked
️⚠️💨1 - yabusele
️⚠️💨1 - nba
5th - basketball
6th - refs
7th - leak
8th - jordan
9th - ultra
10th - thunder
(tap/click to see all posts on Bluesky featuring that word!)

#FreePalestine 🇵🇸",2024-08-10T20:20:34.024Z,https://bsky.app/profile/nowbreezing.ntw.app/post/3kzfbyzdsxw2k,-0.5562,Negative
nowbreezing.ntw.app,"
Bluesky's Top 10 Trending Words from the Past 10 Minutes:
️⚠️💨1 - hacked
️⚠️💨1 - fallon
️⚠️💨1 - basketball
️⚠️💨1 - politico
️⚠️💨1 - medal
️⚠️💨1 - lebron
️⚠️💨1 - jimmy
8th - iran
9th - ブレイキン
10th - www.politico.com/news/2024/08
(tap/click to see all posts on Bluesky featuring that word!)
",2024-08-10T20:00:35.106Z,https://bsky.app/profile/nowbreezing.ntw.app/post/3kzfavby3dn24,0.3595,Positive
nowbreezing.ntw.app,"
Bluesky's Top 10 Trending Words from the Past 10 Minutes:
️⚠️💨3 - phil
️⚠️💨2 - wizard
️⚠️💨1 - lebron
️⚠️💨1 - wemby
️⚠️💨1 - embiid
️⚠️💨1 - politico
️⚠️💨1 - medal
️⚠️💨1 - dany
️⚠️💨1 - relay
10th - internal
(tap/click to see all posts on Bluesky featuring that word!)

#ListenToBlackVoices",2024-08-10T19:40:35.665Z,https://bsky.app/profile/nowbreezing.ntw.app/post/3kzf7rk4i4a2g,0.636,Positive
globalvoters.bsky.social,GB's Cunningham into men's +80kg taekwondo final: Watch as Great Britain's Caden Cunningham's wins his semi-final match against Ivory Coast's Cheick Sallah Cisse and qualifies for the men's +80kg taekwondo finals at the Paris 2024 Olympics.,2024-08-10T17:06:15.000Z,https://bsky.app/profile/globalvoters.bsky.social/post/3kzex5lq6f22k,0.8316,Positive
tghvd.bsky.social,"Iran's medals at the 2024 Summer Olympics:

🥇Hadi Saravi
97 kg Greco-Roman Wrestling

🥇Saeid Esmaili
67 kg Greco-Roman Wrestling

🥈Alireza Mohammadi
87 kg Greco-Roman Wrestling

🥈Nahid Kiani
57 kg Taekwondo

🥉Mobina Nematzadeh
49 kg Taekwondo

🥉Amin Mirzazadeh
130 kg Greco-Roman Wrestling",2024-08-09T07:10:31.218Z,https://bsky.app/profile/tghvd.bsky.social/post/3kzbfffmh6k2f,0.0,Neutral
globalvoters.bsky.social,Top five stories from day 13 at Paris 2024 Olympics: Jade Jones loses in the first round of the taekwondo but Katarina Johnson-Thompson makes an excellent to her heptathlon campaign at Paris 2024.,2024-08-08T12:31:39.000Z,https://bsky.app/profile/globalvoters.bsky.social/post/3kz7guqixx22v,0.7003,Positive
news-feed.bsky.social,"@presstvsports: Iran's Taekwondo athlete Nahid Kiani overcomes tough challenge from her opponent Kimia Alizadeh from Bulgaria in 57-kg category to win first round match at the Paris 2024 Olympics.

#Paris2024 https://t.co/ZLkkngffOf",2024-08-08T11:13:04.598Z,https://bsky.app/profile/news-feed.bsky.social/post/3kz7ci7dkge2m,0.5574,Positive
news-feed.bsky.social,"@guardian: Paris 2024 Olympics day 13: Dutch delight in marathon swimming; heptathlon, taekwondo and more – live https://t.co/TKb5n1rWfG",2024-08-08T08:05:11.983Z,https://bsky.app/profile/news-feed.bsky.social/post/3kz6xyb62nt2f,0.5994,Positive
