author,content,created_at,postLink,Sentiment_Score,Sentiment_Label
eqf18.bsky.social,"Title: Victory Before Us

Click ""alt"" for details.

Maybe criticism/suggestions about my art because I used too many Layers when drawing, so the Line Art loading process was messy 😓

#digitalart #HariKemerdekaanRI #RI79 #IndonesiaIndependenceDay",2024-08-29T14:58:38.797Z,https://bsky.app/profile/eqf18.bsky.social/post/3l2uiuv5omh2l,-0.3612,Negative
byteseu.bsky.social,"S. Korean Athletes Come Back Home from Paris Olympics

https://www.byteseu.com/334382/

Photo : YONHAP News The last batch of South Korean athletes have come home after competing at the 2024 Paris Olympics.  Taekwondo gold medalist Park Tae-joon and weightlifting silver medalist Park …",2024-08-13T11:26:08.000Z,https://bsky.app/profile/byteseu.bsky.social/post/3kzlvk7x4js2z,0.0,Neutral
maladroithe.bsky.social,Look at these babes,2024-08-12T23:58:13.578Z,https://bsky.app/profile/maladroithe.bsky.social/post/3kzkp43fba72t,0.0,Neutral
globalvoters.bsky.social,'Wonderful' Campbell wins weightlifting bronze: Watch as Great Britain's Emily Campbell seals Team GB's final medal of the Paris 2024 Olympics as she wins a bronze medal in the women's +81kg weightlifting.,2024-08-12T14:14:15.000Z,https://bsky.app/profile/globalvoters.bsky.social/post/3kzjohuqxts2h,0.9565,Positive
news-feed.bsky.social,"@globaltimesnews: China’s Li Wenwen won the gold medal in the women’s weightlifting +81kg category at the Paris Olympics, marking China’s 40th gold medal at Paris 2024. https://t.co/CVkWaLwCYp",2024-08-11T12:03:12.349Z,https://bsky.app/profile/news-feed.bsky.social/post/3kzgwomeyav2n,0.872,Positive
drsmokyfurby.bsky.social,@TeamGB #Weightlifting mascot #Paris2024 #OlympicGames #Olympics #BBCOlympics,2024-08-11T09:51:00.678Z,https://bsky.app/profile/drsmokyfurby.bsky.social/post/3kzgpc6xzmv2k,0.0,Neutral
byteseu.bsky.social,"Paris Olympics 2024 * 11/08/2024 * Where despite the controversies we will miss the Olympics

https://www.byteseu.com/328559/

Ok Google, search for CDG-LAX flights for 2028. Medal events 08:00 – Athletics: Women’s Marathon 11:30 – Weightlifting: Women’s +81kg Final 12:20 – Freestyle wrestling: …",2024-08-11T05:13:12.000Z,https://bsky.app/profile/byteseu.bsky.social/post/3kzg7rjqgqc2s,0.6597,Positive
byteseu.bsky.social,"Paris Olympics 2024 * 10/08/2024 * Where floors are cleaned with Breaking

https://www.byteseu.com/326127/

The only true Olympic anthem Medal events 08:00 – Athletics: Men’s Marathon 09:00 – Golf: Women’s Individual Final 11:30 – Weightlifting: Men’s 102kg final 12:35 – Sport climbing: women’s …",2024-08-10T05:39:12.000Z,https://bsky.app/profile/byteseu.bsky.social/post/3kzdqr3ywfy2j,0.7096,Positive
waldograce.bsky.social,"Olivia Reeves wins first U.S. weightlifting Olympic gold medal in 24 years
#OliviaReeves
#Olympics
#NPR
https://www.npr.org/2024/08/09/g-s1-16299/olivia-reeves-olympic-gold-weightlifting-paris",2024-08-10T03:59:49.000Z,https://bsky.app/profile/waldograce.bsky.social/post/3kzdl7d62ck27,0.7783,Positive
dys-morphia.bsky.social,"Women's weightlifting at the Paris Olympics

In a few seconds of incredible intensity, a human being does something that might be impossible.

rinsemiddlebliss.com/posts/2024-0...

#Olympics2024 #weightlifting #WomensWeightlifting",2024-08-09T16:22:24.262Z,https://bsky.app/profile/dys-morphia.bsky.social/post/3kzceaaopwk2x,0.0,Neutral
nowbreezing.ntw.app,"
Bluesky's Top 10 Trending Words from the Past 10 Minutes:
️⚠️💨2 - @pfrazee.com
️⚠️💨1 - wolff
️⚠️💨1 - ブレイキン
️⚠️💨1 - aol
5th - newspaper
6th - gaza
7th - syssy
8th - rainbow
9th - logistx
10th - computers
(tap/click to see all posts on Bluesky featuring that word!)

#FreePalestine 🇵🇸",2024-08-09T16:10:39.621Z,https://bsky.app/profile/nowbreezing.ntw.app/post/3kzcdladue22b,0.2714,Positive
nowbreezing.ntw.app,"
Bluesky's Top 10 Trending Words from the Past 10 Minutes:
️⚠️💨2 - ブレイキン
️⚠️💨1 - berger
️⚠️💨1 - bronze
️⚠️💨1 - programs
️⚠️💨1 - kursk
6th - reporters
7th - olympia
8th - 防災
9th - ハグ
10th - ukraine
(tap/click to see all posts on Bluesky featuring that word!)

#ListenToBlackVoices",2024-08-09T15:10:47.340Z,https://bsky.app/profile/nowbreezing.ntw.app/post/3kzcaa6jke22g,0.2714,Positive
kimchichi.bsky.social,www.instagram.com/p/C-Z3KATti6...,2024-08-08T11:38:58.615Z,https://bsky.app/profile/kimchichi.bsky.social/post/3kz7dwjeoxm2s,0.0,Neutral
cyclingeu.bsky.social,"Weightlifting at Paris 2024 Olympics

https://www.cyclingeu.com/347618/weightlifting-at-paris-2024-olympics/

Free 24/7 live stream of Olympic Games Weightlifting Scores , Standings , Schedule & results Weightlifting at the 2024 Summer Olympics | Weightlifting Olympic Games Paris 2024 The …",2024-08-07T14:33:43.000Z,https://bsky.app/profile/cyclingeu.bsky.social/post/3kz55a6th2s26,0.5106,Positive
byteseu.bsky.social,"Paris Olympics 2024 * 07/08/2024 * Furlani skips, streak is saved

https://www.byteseu.com/317949/

Medal events 07:30 – Athletics: mixed walking relay final 12:54 – Sport climbing: women’s speed final 2.43pm – Sailing: Nacra 17 final regatta 15:00 – Weightlifting: Men’s 61kg final 15:43 – …",2024-08-07T05:13:07.000Z,https://bsky.app/profile/byteseu.bsky.social/post/3kz45vovx7s2w,0.7096,Positive
acjsissons.bsky.social,We need to talk about how many swimming medals there are at the Olympics and how to reduce it…,2024-07-29T20:51:08.330Z,https://bsky.app/profile/acjsissons.bsky.social/post/3kyh64nr3hz2d,0.0,Neutral
dbeecher.bsky.social,"Take that, badminton and field hockey",2024-07-25T19:59:40.127Z,https://bsky.app/profile/dbeecher.bsky.social/post/3ky4zex3qdk2g,0.0,Neutral
npub1qspus6smkn8mcdxg5jflh50s69vdgtwsd5p74gmjpzp2qekn5duqfv5afj.momostr.pink.ap.brid.gy,<https://www.reuters.com/sports/olympics/quota-qualifying-changes-mean-big-names-miss-out-paris-weightlifting-2024-07-12/>,2024-07-12T12:55:16.000Z,https://bsky.app/profile/npub1qspus6smkn8mcdxg5jflh50s69vdgtwsd5p74gmjpzp2qekn5duqfv5afj.momostr.pink.ap.brid.gy/post/3kx3lm73u7pg2,0.0,Neutral
