author,content,created_at,postLink
maladroithe.bsky.social,You just have to tell them there are no electric kettles in the Olympic village,2024-08-13T00:27:03.938Z,https://bsky.app/profile/maladroithe.bsky.social/post/3kzkqpnlrnu2w
llewcid.bsky.social,Would watch the fuck out of a show where they pitted these people against an Olympian,2024-08-12T13:57:30.994Z,https://bsky.app/profile/llewcid.bsky.social/post/3kzjnjwet5p2a
news-feed.bsky.social,"@AFP: Olympics Topshots - 1.

@AFP photographers capture the action on Day 9 of the 2024 Paris #Olympics📷

- Going for gold at the Grand Palais
- Handball powershot at the Paris South Arena
- Moulin Rouge reception during the men's cycling road race
- Noah Lyles reacts after crossing the 100 metres",2024-08-05T02:51:54.808Z,https://bsky.app/profile/news-feed.bsky.social/post/3kywv3c627u2b
news-feed.bsky.social,"@NBCNews: It was the ""upset of a lifetime"" in women's road cycling as American Kristen Faulkner surged ahead of the pack to secure gold at the end of the race.

Watch the 2024 Paris Olympics on NBC and streaming on Peacock. https://t.co/sZYDe4fXPK https://t.co/i75dU2A431",2024-08-04T16:41:11.291Z,https://bsky.app/profile/news-feed.bsky.social/post/3kyvsxavg4l2h
cyclingeu.bsky.social,"Olympics: Men’s road cycling shows Paris is a moveable feast • FRANCE 24 English

https://www.cyclingeu.com/342677/olympics-mens-road-cycling-shows-paris-is-a-moveable-feast-france-24-english/

Staging the opening ceremonies on the Seine wasn’t the only bold move by the Paris 2024 organisers. …",2024-08-03T18:00:16.000Z,https://bsky.app/profile/cyclingeu.bsky.social/post/3kytgvtsprw2h
australia.theguardian.com,"Paris 2024 Olympics day eight: athletics, rowing, men’s cycling road race and more – live",2024-08-03T05:04:08.701Z,https://bsky.app/profile/australia.theguardian.com/post/3kys3jvkctp2h
news-feed.bsky.social,"@guardiannews: Paris 2024 Olympics day eight: athletics, rowing, men’s cycling road race and more – live https://t.co/kE62uF4vYA",2024-08-03T04:27:02.706Z,https://bsky.app/profile/news-feed.bsky.social/post/3kyrzhkq5zk23
acjsissons.bsky.social,We need to talk about how many swimming medals there are at the Olympics and how to reduce it…,2024-07-29T20:51:08.330Z,https://bsky.app/profile/acjsissons.bsky.social/post/3kyh64nr3hz2d
globalvoters.bsky.social,GB's Tarling misses out on medal by two seconds after puncture: Watch as 20-year-old Josh Tarling loses out on a medal for Great Britain by two seconds after suffering a puncture during the men's road cycling time trials on day one of the Paris 2024 Olympics.,2024-07-27T19:53:17.000Z,https://bsky.app/profile/globalvoters.bsky.social/post/3kybzxfaagg2k
globalvoters.bsky.social,GB's Tarling misses out on medal by two seconds after puncture: Watch as 20-year-old Josh Tarling loses out on a medal for Great Britain by two seconds after suffering a puncture during the men's road cycling time trials on day one of the Paris 2024 Olympics.,2024-07-27T19:49:05.000Z,https://bsky.app/profile/globalvoters.bsky.social/post/3kybzput2uc23
