author,content,created_at,postLink
maladroithe.bsky.social,You just have to tell them there are no electric kettles in the Olympic village,2024-08-13T00:27:03.938Z,https://bsky.app/profile/maladroithe.bsky.social/post/3kzkqpnlrnu2w
llewcid.bsky.social,Would watch the fuck out of a show where they pitted these people against an Olympian,2024-08-12T13:57:30.994Z,https://bsky.app/profile/llewcid.bsky.social/post/3kzjnjwet5p2a
ashleysays.bsky.social,Okay pentathlon is wild. They should be the MVPs of the Olympics,2024-08-08T12:05:20.707Z,https://bsky.app/profile/ashleysays.bsky.social/post/3kz7ffoad4y2e
chklaue.bsky.social,"📌 Another one of those magnificent places of the Paris 2024 Olympics: Château de Versailles hosting equestrian. 

🔵⚫️🔴🟡🟢

#Olympics #Paris2024",2024-08-07T05:28:42.165Z,https://bsky.app/profile/chklaue.bsky.social/post/3kz46rhwnmk2d
farmette.bsky.social,Digging the Parisian themed fences at Versailles for the equestrian events - Paris Equestrian Olympics 2024,2024-08-07T02:26:42.721Z,https://bsky.app/profile/farmette.bsky.social/post/3kz3um336222r
mikemurph.bsky.social,Clever horse,2024-08-06T10:27:57.163Z,https://bsky.app/profile/mikemurph.bsky.social/post/3kz26zof3ec22
merseytart.bsky.social,How can we miss out on an equestrian medal? Posh people on horses is one of the few things this country is good at!,2024-08-06T09:20:04.540Z,https://bsky.app/profile/merseytart.bsky.social/post/3kz23aci66c2k
npub1qspus6smkn8mcdxg5jflh50s69vdgtwsd5p74gmjpzp2qekn5duqfv5afj.momostr.pink.ap.brid.gy,"<https://image.nostr.build/0da7e8e564f1c204150196f6737cdd40762c95bde0d68da796bb54b56f4ce854.jpg>

USA’s McLain Ward, riding Ilex, during the Equestrian Jumping qualifiers, at the 2024 Summer Olympics, Monday, Aug. 5, 2024, in Versailles, France.

📸 #Picstr […] 

[Original post on coracle.social]",2024-08-05T22:07:22.000Z,https://bsky.app/profile/npub1qspus6smkn8mcdxg5jflh50s69vdgtwsd5p74gmjpzp2qekn5duqfv5afj.momostr.pink.ap.brid.gy/post/3kyyvnmsgyzs2
globalvoters.bsky.social,More GB medals & Djokovic gold - day nine in Paris: Great Britain win their fifth equestrian medal of the Paris Olympics on day nine of the 2024 Games through Charlotte Fry.,2024-08-04T21:26:06.000Z,https://bsky.app/profile/globalvoters.bsky.social/post/3kywcupxym22m
globalvoters.bsky.social,What's happened at the Olympics today?: Great Britain win their fifth equestrian medal of the Paris Olympics on day nine of the 2024 Games through Charlotte Fry.,2024-08-04T12:56:15.000Z,https://bsky.app/profile/globalvoters.bsky.social/post/3kyvgezcs4223
