author,content,created_at,postLink
maladroithe.bsky.social,You just have to tell them there are no electric kettles in the Olympic village,2024-08-13T00:27:03.938Z,https://bsky.app/profile/maladroithe.bsky.social/post/3kzkqpnlrnu2w
llewcid.bsky.social,Would watch the fuck out of a show where they pitted these people against an Olympian,2024-08-12T13:57:30.994Z,https://bsky.app/profile/llewcid.bsky.social/post/3kzjnjwet5p2a
aboz.bsky.social,"Australia shined brightly at the 2024 Paris Olympics, making history with an impressive medal haul of 43, including 18 golds! Our athletes dominated in swimming, track and field, cycling, rowing, and sailing, proving their dedication and skill on the global stage.",2024-08-11T15:03:46.828Z,https://bsky.app/profile/aboz.bsky.social/post/3kzharjhest2h
news-feed.bsky.social,"@dwnews: German rower Oliver Zeidler has earned his country its third gold medal in the 2024 Paris Olympics, winning the men's single sculls rowing competition on Saturday.
https://t.co/U9eL4xQZt0",2024-08-03T23:13:36.374Z,https://bsky.app/profile/news-feed.bsky.social/post/3kytyfz2yo32d
globalvoters.bsky.social,"Top stories so far from day eight of Paris 2024: After their most successful opening week to a summer Olympics ever, Team GB showed no signs of slowing down on day eight with gold and bronze in the rowing",2024-08-03T11:38:08.000Z,https://bsky.app/profile/globalvoters.bsky.social/post/3kysrkgtqi226
news-feed.bsky.social,"@dwnews: German rower Oliver Zeidler has earned his country its third gold medal in the 2024 Paris Olympics, winning the men's single sculls rowing competition.
https://t.co/U9eL4xRxiy",2024-08-03T11:22:50.669Z,https://bsky.app/profile/news-feed.bsky.social/post/3kysqp2xbey2e
news-feed.bsky.social,"@dwnews: German rower Oliver Seidler has earned his country its third gold medal in the 2024 Paris Olympics, winning the men's single sculls rowing competition. https://t.co/U9eL4xQZt0",2024-08-03T11:20:20.805Z,https://bsky.app/profile/news-feed.bsky.social/post/3kysqklzqtk23
bbcnews-uk-rss.bsky.social,Olympic rowing: Great Britain win men's eight gold and women's eight bronze at Paris 2024 Olympics,2024-08-03T09:28:50.796Z,https://bsky.app/profile/bbcnews-uk-rss.bsky.social/post/3kyskda3jfb22
australia.theguardian.com,"Paris 2024 Olympics day eight: athletics, rowing, men’s cycling road race and more – live",2024-08-03T05:04:08.701Z,https://bsky.app/profile/australia.theguardian.com/post/3kys3jvkctp2h
news-feed.bsky.social,"@guardiannews: Paris 2024 Olympics day eight: athletics, rowing, men’s cycling road race and more – live https://t.co/kE62uF4vYA",2024-08-03T04:27:02.706Z,https://bsky.app/profile/news-feed.bsky.social/post/3kyrzhkq5zk23
